condition,trial,n_noise_cols,noise_family,n_cols_total,rmse_Z,w0_err,w_err,test_y_ll,test_y_rmse,x_rmse_informative9,nan_occurred,runtime_s
no_noise,0,0,none,9,0.20770044622399086,0.010731831280070603,0.0056601301917437175,-2.0782822970899018,2.0608401893533097,0.8130742585954552,False,7.9
gauss_noise3,0,3,gaussian,12,0.20726744630716,0.010407047957703863,0.005235216809273524,-2.0784675207788976,2.061819525974684,0.8145682785856901,False,7.77
bern_noise3,0,3,bernoulli,12,0.2078994232789438,0.010844988047278514,0.005486444501677679,-2.0785715148870603,2.062415835748628,0.8129256512286359,False,8.0
pois_noise3,0,3,poisson,12,0.20912198289638165,0.010461585308959354,0.005454954997175632,-2.0795679131517226,2.062797436936927,0.8139163955335856,False,7.89
gauss_noise6,0,6,gaussian,15,0.20643988229461574,0.010276246036543979,0.0050498762784602635,-2.0781309665854155,2.061678478713647,0.8142926074658535,False,7.89
gauss_noise12,0,12,gaussian,21,0.21466547951414952,0.010162825693028177,0.005328374474899145,-2.0828364275392484,2.072712706863765,0.816140752513244,False,7.96
no_noise,1,0,none,9,0.22727525607938334,0.00808559443862622,0.00495884991718698,-1.9874140122515602,1.9270957404545026,0.765577868989184,False,8.01
gauss_noise3,1,3,gaussian,12,0.2576142048019039,0.009474781102880803,0.004026294612703207,-2.0073920319900025,1.943036578124499,0.7306843253273585,False,10.7
bern_noise3,1,3,bernoulli,12,0.22813953528536648,0.008975729440398483,0.004611150822625698,-1.987938136413692,1.9278535750489514,0.7654091592050881,False,12.21
pois_noise3,1,3,poisson,12,0.22879364500733967,0.008332461931086055,0.005013931354795276,-1.988128465022898,1.9271014782666607,0.7667012902069127,False,13.25
gauss_noise6,1,6,gaussian,15,0.22702523042017692,0.008739477897308667,0.004862069324792717,-1.9871929881275048,1.9255176728104577,0.7636180535756637,False,11.77
gauss_noise12,1,12,gaussian,21,0.25726087370892264,0.008572141998639315,0.0035439048350834335,-2.0073724396823507,1.9421474573282724,0.7290502449564673,False,12.5
no_noise,2,0,none,9,0.23523378783333931,0.0037167303122565,0.0006556219902654203,-2.0478004457690284,2.0570645643360863,0.7341385589175842,False,10.93
gauss_noise3,2,3,gaussian,12,0.234670972183871,0.003851189370990049,0.0002589758186386515,-2.0476435288598034,2.0543656050237367,0.7330063761337506,False,9.84
bern_noise3,2,3,bernoulli,12,0.23543789708183377,0.0036262640991202577,0.0005524730710331216,-2.047853650894019,2.058147298015864,0.7339826292225513,False,8.52
pois_noise3,2,3,poisson,12,0.23516195361188605,0.0033715906362605796,0.0008359955470213509,-2.047405237275579,2.055784502880227,0.7341368801991576,False,8.18
gauss_noise6,2,6,gaussian,15,0.23509945859546483,0.003990906077613099,0.0007040873158378202,-2.047861444893905,2.0595658425331083,0.7335331574414471,False,7.85
gauss_noise12,2,12,gaussian,21,0.23437605000993544,0.004037386558509493,5.4871101890063834e-05,-2.0465363914080807,2.0538173577729366,0.7304012347180617,False,8.02
