condition,trial,rmse_Z,w0_err,w_err,bic,nan_occurred,runtime_s
percolumn_correct,0,0.23247783938161404,0.004561603915220314,0.004004838422555557,14061.1969210412,False,9.89
all_gaussian,0,0.21624349759102443,0.004459215766467128,0.0011634209931521422,14691.449403185985,False,6.29
all_bernoulli,0,0.7320942373637587,0.030289266664455194,0.02801721608766461,9261.96179465383,False,7.0
all_poisson,0,0.2966717905312715,0.0025913861516271286,0.005829469550425848,14631.51744806983,False,6.39
percolumn_correct,1,0.213729578742457,0.010630648912753005,0.0028340046976740862,13958.483997791207,False,9.78
all_gaussian,1,0.21925383012539904,0.010067404533913749,0.002000638324955284,14706.070365089561,False,5.49
all_bernoulli,1,0.2839655715541369,0.012871026708689781,0.00997055746916653,8254.776757554197,False,6.06
all_poisson,1,0.2542128070711379,0.01005619053505269,0.0003784458432491422,14675.341226444056,False,5.48
percolumn_correct,2,0.20215906468209663,0.019017044313830667,0.0001992141581832474,14030.353298776112,False,9.25
all_gaussian,2,0.21665732447612635,0.02019169402322607,3.962275747837474e-05,14652.811633079358,False,5.4
all_bernoulli,2,0.2737811060094848,0.01704743460284308,0.010450582025571142,9228.98318771671,False,6.97
all_poisson,2,0.26308566936436534,0.019590644465028895,0.0006758029481216399,14678.781738403864,False,6.69
percolumn_correct,3,0.22769120674969895,0.0029569797320510016,0.0020664976987492256,14042.895695682177,False,8.59
all_gaussian,3,0.23794314778916573,0.004890971656544174,0.001431157544341033,14688.820046720604,False,5.4
all_bernoulli,3,0.30133258433546106,0.009494933841091235,0.011533665456191888,8545.459693748126,False,6.1
all_poisson,3,0.2840406106307136,0.002342289677199405,0.0033882244020028707,14756.856433196332,False,5.5
percolumn_correct,4,0.22000703085996848,0.0034998648875306237,0.00048351134189961176,14111.733007688004,False,8.43
all_gaussian,4,0.21561852900296619,0.00528539612739487,0.0026929688475512137,14933.758014669313,False,5.42
all_bernoulli,4,1.3681984925022246,0.07677529314955178,2.528674447472705,13072.44372593953,False,6.64
all_poisson,4,0.2780240520466517,0.0073844774416813586,0.003041782958487782,14744.70782583267,False,5.51
