condition,trial,n_cols_used,rmse_Z,w0_err,w_err,train_y_ll,test_y_ll,train_y_rmse,test_y_rmse,bic,nan_occurred,runtime_s,x_rmse_gauss,x_rmse_bern,x_rmse_pois
single_gaussian,0,3,0.2625876863819809,0.011522150787305119,0.009056325081438998,-1.9995750820410594,-2.0478944206775593,1.9602792496543064,2.053633576860992,10711.758147889243,False,5.35,0.31041306824938103,,
single_bernoulli,0,3,0.30318498406366506,0.00965238199562335,0.010556448298752519,-2.00179141985606,-2.063802461714533,1.9553342598523553,2.117000100117318,10871.721422545317,False,5.7,,0.4565863435689953,
single_poisson,0,3,0.3018632771781406,0.009061474902272382,0.011605854149429273,-2.0017057866791106,-2.0633282832693856,1.9708636283040821,2.1106030693048967,11236.15649625912,False,5.22,,,1.3486624207139701
per_column_all,0,9,0.25306854386559235,0.010782362959619096,0.007437180147911837,-1.9974309118863198,-2.046043986107558,1.9562242787150805,2.0592731764370886,11716.769091186521,False,8.04,0.313582200592697,0.4566710602748921,1.5404560352428114
all_gaussian,0,9,0.2544855106397151,0.00986204554360981,0.0050902152392217626,-1.9973041019729405,-2.0467130448902147,1.9560284170773135,2.0739673807281984,12470.792829385566,False,5.03,0.3176499097690529,0.6638484331626581,2.9180605038302883
all_bernoulli,0,9,1.7466461951468373,0.07925203628466093,1.5438626024562239,-2.3741818722676746,-106.54153716873216,2.766928273827897,1517.014615270964,10230.944893624672,False,5.99,1.1186767860059588,0.49003562596534517,3.293558984739703
all_poisson,0,9,0.28760635080924374,0.008664963827806016,0.009863439855686162,-1.9996842805518018,-2.0539607510091904,1.954218910234605,2.069968162970419,12328.815321950793,False,5.19,1.4833816732959937,0.7051773592593031,1.4758626145626514
all_bernoulli_binarized,0,9,0.28877917802704267,0.009006295495464167,0.010654199293119171,-2.0013414234422515,-2.0527589465966893,1.959364157029797,2.0860807467222626,11289.967270792475,False,5.91,0.27699890910556896,0.45464538464408977,0.4120451809533051
y_only,0,0,0.3086809067787835,0.009513454716151504,0.011304525056190784,-1.9998027352232508,-2.062352634148367,1.9566781207896045,2.1195492126130837,15444.570047671552,False,5.28,,,
single_gaussian,1,3,0.2362957068000556,0.003049153979267416,0.003392445029129998,-1.9913678087596036,-2.067224922284713,1.9237783364521512,2.1342632933083885,10666.582356381175,False,5.06,0.30925946608740784,,
single_bernoulli,1,3,0.3384978859735889,0.0044895689178843234,0.00686344073778411,-1.9978368286547812,-2.0963247813397405,1.9502734756374687,2.2103175645290447,10838.023725519512,False,5.64,,0.4359473141299142,
single_poisson,1,3,0.27905798586807334,0.00379914645845969,0.0031886157257380865,-1.9968463282133428,-2.0647058267914833,1.9432887959815226,2.12117921671609,11241.885601416432,False,5.22,,,1.4539625581374926
per_column_all,1,9,0.22785929404227082,0.003548934337148868,0.004732013112436817,-1.9951396519138973,-2.0593097840076284,1.9324068154485403,2.0883273374461666,11652.488337398017,False,8.05,0.29857691374552797,0.4334944524463201,1.423785077545574
all_gaussian,1,9,0.22129907226017725,0.005999000393135168,0.004082959463522662,-1.990589779061206,-2.0624984562302733,1.9193027200494786,2.11357876783878,12367.242560739083,False,5.01,0.3001859794970909,0.6740530095925232,2.6195267799428095
all_bernoulli,1,9,0.3281875892139457,0.014804478494360396,0.02496901642844046,-2.0376316732794404,-2.121116363152566,2.0397999284422226,3.1895011678572223,4883.731636077843,False,5.84,0.8728001298484109,0.44429852001245024,2.77224783351295
all_poisson,1,9,0.3197226032934194,0.0039871571176861575,0.0062155814439229795,-1.9976967489205815,-2.0927906014033484,1.9487852433802786,2.1730103449914457,12362.015284730409,False,5.22,1.4437050789549044,0.6853195703118116,1.3797986152071677
all_bernoulli_binarized,1,9,0.30953074722279134,0.005931839156834595,0.0053807407807168195,-1.9943675257896427,-2.0791035257839225,1.9416236569506513,2.1603587894037837,11231.20121139398,False,5.75,0.24287081917417971,0.4398448372460799,0.42471503937414806
y_only,1,0,0.35159643850076217,0.004820142143852291,0.00501663349545145,-1.9963988762499663,-2.100737288083653,1.9444751273660965,2.2112003940317977,14826.431843346321,False,5.16,,,
single_gaussian,2,3,0.2296737225925666,0.010210820927498254,0.008713510446837658,-1.9828650513599773,-2.0343280105172625,1.865414234592886,2.0468678501522932,10595.699707361162,False,5.2,0.28035286941253995,,
single_bernoulli,2,3,0.32077803331272053,0.009926091680523497,0.0050093732342677555,-1.9773345207377684,-2.07396445078404,1.859321405638555,2.1490332457086847,10785.239087950597,False,5.83,,0.4613756960100285,
single_poisson,2,3,0.3012662105930317,0.0089786146928168,0.004530752410089822,-1.9784094432839288,-2.0731318772018588,1.8694319950701543,2.1545658765482467,11126.52870845247,False,5.3,,,1.2475926507986443
per_column_all,2,9,0.22320197667497385,0.010095826652163797,0.008615839757967536,-1.983484787089785,-2.0359391899836417,1.867669282085835,2.05111198936115,11574.124470288212,False,8.34,0.2793044267935943,0.4603425320555284,1.2173521322420289
all_gaussian,2,9,0.227089044813582,0.009459512930625191,0.008521866534870304,-1.9828918145401941,-2.0355388104056686,1.8658643282142895,2.048240031846437,12227.651355830047,False,5.6,0.2813860091370047,0.6983999544804624,2.1283517022899656
all_bernoulli,2,9,0.3175979803924803,0.013520843197191379,0.01979520677943669,-2.0057747855185686,-2.112411262558943,1.9490692368060956,2.4262318680073967,6534.411046360886,False,6.86,0.912889299978517,0.46217872799542825,2.0816247496438445
all_poisson,2,9,0.27975220630760683,0.008201279334912215,0.005816014175181461,-1.979614859886562,-2.056840171224914,1.862083301956514,2.089387198180821,12236.839136083383,False,7.13,1.4953716630440448,0.6752793081118668,1.2388077773838213
all_bernoulli_binarized,2,9,0.2779280461213357,0.00817857946360645,0.004832466917325695,-1.9764289590989141,-2.0571241944035203,1.8557045731504063,2.111288306892894,11194.07720160084,False,6.78,0.2887194099564085,0.46065577557017606,0.414918842084303
y_only,2,0,0.3244753193214849,0.010204769613509024,0.005471657215371184,-1.9773578572768522,-2.0748050467987653,1.8591189215555481,2.150374587952228,13883.234556960508,False,5.69,,,
