feature_rank,feature_index,feature_name_if_available,selection_source
0,1263,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
1,1177,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
2,507,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
3,1209,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
4,1381,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
5,1075,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
6,19,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
7,1328,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
8,1301,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
9,132,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
10,1071,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
11,763,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
12,814,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
13,495,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
14,1131,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
15,1132,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
16,1352,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
17,398,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
18,874,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
19,774,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
20,1230,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
21,93,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
22,1262,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
23,1348,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
24,619,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
25,581,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
26,1170,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
27,1171,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
28,1151,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
29,1353,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
30,4,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
31,540,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
32,698,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
33,1254,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
34,336,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
35,1389,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
36,729,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
37,1332,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
38,39,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
39,1118,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
40,911,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
41,648,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
42,725,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
43,1397,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
44,647,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
45,701,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
46,1198,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
47,1203,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
48,211,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
49,135,not_available_in_cora_content,n280_baseline_top50_by_column_sum_within_subset
