phase,n,per_class,k,split_trial,model_trial,model_seed,split_seed,train_neg_seed,test_neg_seed,d,family_x,family_y,evaluation_mode,train_edges,test_edges,train_neg,test_neg,sampled_random_ap_baseline,train_auc_sampled,train_ap_sampled,test_auc_sampled,test_ap_sampled,test_ap_over_sampled_random,test_auc_all_candidates,test_ap_all_candidates,all_candidate_random_ap_baseline,test_precision_at_K,test_recall_at_K,n_candidates,n_candidate_neg,bic,bic_per_train_pair,q_strict,q_per_train_pair,num_params,nmi,ari,silhouette,w0,w,nan_occurred,nan_count,success,error_message,runtime_seconds,peak_memory_mb,memory_measurement_note
main,280,40,3,0,0,24263618,24260618,24960618,25060618,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,347,86,1735,430,0.16666666666666666,0.8381815312808844,0.609415170482909,0.7415359653866955,0.44732602998551946,2.683956179913117,0.7345097205774248,0.02445661095332495,0.002221475989977527,0.06976744186046512,0.06976744186046512,38713,38627,14821.054669905274,0.37944328391974586,-6996.370299119697,-0.17911854324423188,147,0.21287959706760878,0.12663047872417013,-0.0652248572116459,-6.010536404111832,0.7489250833603437,False,0,True,,42.455006299998786,,unavailable
main,280,40,6,0,0,24266618,24260618,24960618,25060618,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,347,86,1735,430,0.16666666666666666,0.9068092916642443,0.7386534986830054,0.7417522985397512,0.4326919932180196,2.5961519593081177,0.7458886752909911,0.023758276895928937,0.002221475989977527,0.10465116279069768,0.10465116279069768,38713,38627,16602.480727250982,0.4250507098630564,-7498.282845173873,-0.19196832680936696,285,0.22567157774954288,0.10545782530546562,-0.053828430975704576,-6.2586799126501935,0.6321025352586443,False,0,True,,42.1156117999999,,unavailable
main,280,40,3,1,0,24263619,24260619,24960619,25060619,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,347,86,1735,430,0.16666666666666666,0.8470944862925528,0.5984739711736102,0.8215792320173066,0.603642573007076,3.621855438042456,0.8032256627338028,0.03985103550194226,0.002221475989977527,0.09302325581395349,0.09302325581395349,38713,38627,14845.624202363399,0.38007230420797233,-7008.655065348759,-0.1794330533883451,147,0.29786579202550056,0.17982339197671737,-0.024292859293253196,-6.050205836920513,0.7522800069521971,False,0,True,,38.75418119999813,,unavailable
main,280,40,6,1,0,24266619,24260619,24960619,25060619,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,347,86,1735,430,0.16666666666666666,0.8923087144648656,0.7033339615516718,0.7839372633856138,0.5161184080920924,3.0967104485525545,0.7853859903995337,0.0369871376428336,0.002221475989977527,0.09302325581395349,0.09302325581395349,38713,38627,16617.236708387027,0.425428487157886,-7505.660835741895,-0.19215721545678174,285,0.2424166566224368,0.1289649911559059,-0.042386878943084204,-6.186573283848653,0.6196026284691266,False,0,True,,41.17320699999982,,unavailable
main,280,40,3,2,0,24263620,24260620,24960620,25060620,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,347,86,1735,430,0.16666666666666666,0.8595769419229461,0.6328895910685701,0.7283126014061655,0.4309344980699077,2.585606988419446,0.7331382254008372,0.011602853180299954,0.002221475989977527,0.046511627906976744,0.046511627906976744,38713,38627,14664.525863083156,0.37543588999188826,-6918.105895708638,-0.17711484628030308,147,0.2702103283841373,0.14662024681060548,-0.03468127043800111,-6.181180612756666,0.8144532470829802,False,0,True,,38.94018440000218,,unavailable
main,280,40,6,2,0,24266620,24260620,24960620,25060620,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,347,86,1735,430,0.16666666666666666,0.906193058658406,0.7482811796967012,0.7328826392644674,0.388699373401185,2.33219624040711,0.7325439910991287,0.009538985935723217,0.002221475989977527,0.011627906976744186,0.011627906976744186,38713,38627,16483.847180408433,0.4220134966822435,-7438.9660717525985,-0.19044972021896053,285,0.22813231433287084,0.12122468575418995,-0.04009294435372298,-6.236440267443485,0.6333057075958853,False,0,True,,41.548842199998035,,unavailable
main,490,70,3,0,0,27263618,27260618,27960618,28060618,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,739,184,3695,920,0.16666666666666666,0.8371873632400146,0.5945591544055476,0.7382443289224953,0.4213346593482994,2.5280079560897963,0.7383477350211354,0.013678978120790055,0.0015453613962004267,0.05434782608695652,0.05434782608695652,119066,118882,26703.765374363644,0.22289358018750172,-12896.593890935628,-0.10764654138755167,147,0.23271932281438615,0.13733117193785452,-0.04626154271105436,-6.430774753056815,0.7658779313479785,False,0,True,,137.19603199999983,,unavailable
main,490,70,6,0,0,27266618,27260618,27960618,28060618,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,739,184,3695,920,0.16666666666666666,0.9035283389578499,0.7098414261648843,0.7941221644612476,0.5219928781407078,3.131957268844247,0.7838311811566164,0.031047071630863975,0.0015453613962004267,0.10326086956521739,0.10326086956521739,119066,118882,29288.940430672345,0.24447177021553645,-13761.767447103757,-0.11486805598350451,285,0.22323732138552013,0.1537840059004141,-0.030320120944928645,-6.589834829091024,0.6295156424903424,False,0,True,,172.47085780000634,,unavailable
main,490,70,3,1,0,27263619,27260619,27960619,28060619,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,739,184,3695,920,0.16666666666666666,0.8667687197525824,0.6604545549742172,0.7228142722117202,0.4364833808938641,2.618900285363185,0.7241659248520455,0.0234406496631544,0.0015453613962004267,0.04891304347826087,0.04891304347826087,119066,118882,26623.451317499315,0.22222320702390813,-12856.436862503464,-0.10731135480575489,147,0.2775375323292384,0.18588966076060354,0.0025374056553888026,-6.537748728820176,0.8131638680690125,False,0,True,,130.90748840000015,,unavailable
main,490,70,6,1,0,27266619,27260619,27960619,28060619,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,739,184,3695,920,0.16666666666666666,0.9025772676751123,0.7146964499818563,0.7760751417769376,0.48658131378048586,2.9194878826829154,0.7785980508257,0.0151046549175905,0.0015453613962004267,0.04891304347826087,0.04891304347826087,119066,118882,29396.66200040093,0.24537091106715855,-13815.62823196805,-0.11531762640931556,285,0.1880718905841745,0.10486642001837554,-0.05384597178225015,-6.546293505475622,0.6217177365724064,False,0,True,,166.04145080000308,,unavailable
