paper_id,class_label,degree_full_graph,degree_subset_if_available,selection_rank_within_class
1365,Neural_Networks,74,2,0
3229,Neural_Networks,65,5,1
910,Neural_Networks,44,3,2
19621,Neural_Networks,33,3,3
2665,Neural_Networks,30,2,4
22563,Neural_Networks,21,7,5
2658,Neural_Networks,19,2,6
31353,Neural_Networks,19,1,7
230879,Neural_Networks,18,2,8
3220,Neural_Networks,18,3,9
2696,Neural_Networks,17,1,10
5348,Neural_Networks,15,1,11
35797,Neural_Networks,14,3,12
34257,Neural_Networks,14,0,13
6910,Neural_Networks,13,2,14
202639,Neural_Networks,11,2,15
10531,Neural_Networks,11,2,16
240321,Neural_Networks,10,0,17
77758,Neural_Networks,10,4,18
32083,Neural_Networks,10,2,19
123825,Neural_Networks,10,1,20
12330,Neural_Networks,10,0,21
23507,Neural_Networks,9,2,22
578337,Neural_Networks,9,2,23
25702,Neural_Networks,9,2,24
205196,Neural_Networks,9,0,25
66990,Neural_Networks,9,1,26
28254,Neural_Networks,9,4,27
27623,Neural_Networks,9,1,28
78557,Neural_Networks,8,1,29
13686,Neural_Networks,8,3,30
16485,Neural_Networks,8,0,31
6784,Neural_Networks,8,1,32
25772,Neural_Networks,8,3,33
33818,Neural_Networks,8,1,34
29492,Neural_Networks,8,1,35
12631,Neural_Networks,8,2,36
25181,Neural_Networks,8,1,37
6130,Neural_Networks,8,0,38
12638,Neural_Networks,8,3,39
2440,Rule_Learning,31,13,0
8703,Rule_Learning,19,5,1
39127,Rule_Learning,16,6,2
3218,Rule_Learning,15,4,3
6935,Rule_Learning,10,3,4
11335,Rule_Learning,9,1,5
4649,Rule_Learning,9,3,6
6923,Rule_Learning,9,4,7
8594,Rule_Learning,8,1,8
49843,Rule_Learning,8,8,9
22431,Rule_Learning,8,6,10
18615,Rule_Learning,7,5,11
6639,Rule_Learning,7,6,12
6917,Rule_Learning,7,3,13
75969,Rule_Learning,7,4,14
116084,Rule_Learning,7,4,15
63931,Rule_Learning,7,4,16
85688,Rule_Learning,6,4,17
193352,Rule_Learning,6,1,18
75972,Rule_Learning,6,6,19
51909,Rule_Learning,6,2,20
178209,Rule_Learning,6,4,21
592830,Rule_Learning,6,5,22
136766,Rule_Learning,6,3,23
235679,Rule_Learning,6,1,24
49844,Rule_Learning,6,6,25
1105932,Rule_Learning,5,5,26
424,Rule_Learning,5,1,27
193347,Rule_Learning,5,1,28
1128935,Rule_Learning,5,4,29
591017,Rule_Learning,5,3,30
1000012,Rule_Learning,5,4,31
1106388,Rule_Learning,5,5,32
235683,Rule_Learning,5,1,33
49847,Rule_Learning,5,5,34
1127851,Rule_Learning,5,3,35
187354,Rule_Learning,5,3,36
13717,Rule_Learning,5,2,37
72908,Rule_Learning,5,2,38
8591,Rule_Learning,5,1,39
6213,Reinforcement_Learning,78,22,0
114,Reinforcement_Learning,42,11,1
4584,Reinforcement_Learning,32,10,2
6214,Reinforcement_Learning,32,14,3
117,Reinforcement_Learning,17,6,4
28350,Reinforcement_Learning,14,4,5
17476,Reinforcement_Learning,13,3,6
6184,Reinforcement_Learning,12,7,7
28287,Reinforcement_Learning,12,4,8
6163,Reinforcement_Learning,12,8,9
6209,Reinforcement_Learning,11,2,10
6151,Reinforcement_Learning,11,4,11
7419,Reinforcement_Learning,10,4,12
20534,Reinforcement_Learning,10,3,13
6196,Reinforcement_Learning,9,3,14
17208,Reinforcement_Learning,9,2,15
128,Reinforcement_Learning,8,5,16
134128,Reinforcement_Learning,8,4,17
23258,Reinforcement_Learning,8,2,18
6385,Reinforcement_Learning,8,2,19
28290,Reinforcement_Learning,8,4,20
6220,Reinforcement_Learning,8,7,21
124064,Reinforcement_Learning,8,7,22
8872,Reinforcement_Learning,8,2,23
6224,Reinforcement_Learning,8,5,24
86359,Reinforcement_Learning,7,1,25
28202,Reinforcement_Learning,7,3,26
6169,Reinforcement_Learning,7,2,27
341188,Reinforcement_Learning,7,4,28
17201,Reinforcement_Learning,7,1,29
197054,Reinforcement_Learning,6,3,30
28278,Reinforcement_Learning,6,5,31
38480,Reinforcement_Learning,6,5,32
130,Reinforcement_Learning,6,3,33
6216,Reinforcement_Learning,6,0,34
91975,Reinforcement_Learning,6,4,35
6378,Reinforcement_Learning,6,3,36
28504,Reinforcement_Learning,6,1,37
7430,Reinforcement_Learning,6,1,38
20526,Reinforcement_Learning,6,3,39
4330,Probabilistic_Methods,40,5,0
39890,Probabilistic_Methods,19,4,1
3191,Probabilistic_Methods,17,5,2
35922,Probabilistic_Methods,16,3,3
643221,Probabilistic_Methods,16,4,4
4335,Probabilistic_Methods,16,2,5
16819,Probabilistic_Methods,14,2,6
642894,Probabilistic_Methods,14,2,7
18777,Probabilistic_Methods,13,1,8
5086,Probabilistic_Methods,12,3,9
3233,Probabilistic_Methods,12,2,10
6913,Probabilistic_Methods,12,2,11
31489,Probabilistic_Methods,12,0,12
65074,Probabilistic_Methods,12,1,13
16008,Probabilistic_Methods,11,2,14
1997,Probabilistic_Methods,10,3,15
73162,Probabilistic_Methods,10,1,16
77438,Probabilistic_Methods,10,0,17
6818,Probabilistic_Methods,10,0,18
3192,Probabilistic_Methods,10,3,19
153063,Probabilistic_Methods,10,0,20
28957,Probabilistic_Methods,9,2,21
1717,Probabilistic_Methods,9,3,22
6814,Probabilistic_Methods,9,0,23
154982,Probabilistic_Methods,8,2,24
33231,Probabilistic_Methods,8,0,25
14429,Probabilistic_Methods,8,0,26
714289,Probabilistic_Methods,8,1,27
23070,Probabilistic_Methods,8,1,28
4329,Probabilistic_Methods,8,2,29
66794,Probabilistic_Methods,7,2,30
36802,Probabilistic_Methods,7,1,31
162664,Probabilistic_Methods,7,3,32
126927,Probabilistic_Methods,7,2,33
35778,Probabilistic_Methods,7,0,34
20924,Probabilistic_Methods,7,0,35
36162,Probabilistic_Methods,7,0,36
39165,Probabilistic_Methods,7,1,37
643239,Probabilistic_Methods,7,4,38
653441,Probabilistic_Methods,7,2,39
3231,Theory,36,6,0
1272,Theory,34,8,1
24966,Theory,29,4,2
8224,Theory,26,9,3
12182,Theory,23,4,4
10169,Theory,21,7,5
12350,Theory,21,9,6
15429,Theory,19,5,7
2653,Theory,18,3,8
23738,Theory,17,3,9
4804,Theory,17,6,10
10177,Theory,15,6,11
89547,Theory,13,3,12
2654,Theory,13,0,13
46491,Theory,12,0,14
3243,Theory,12,1,15
36140,Theory,12,3,16
20601,Theory,12,3,17
79809,Theory,11,2,18
27627,Theory,10,3,19
12195,Theory,10,3,20
40151,Theory,10,1,21
20602,Theory,10,2,22
45189,Theory,10,2,23
67415,Theory,10,5,24
30895,Theory,10,4,25
6125,Theory,10,3,26
23116,Theory,9,2,27
65650,Theory,9,4,28
12210,Theory,9,7,29
6741,Theory,9,2,30
2354,Theory,8,1,31
63486,Theory,8,3,32
8079,Theory,8,1,33
38722,Theory,8,3,34
12198,Theory,8,2,35
25805,Theory,8,2,36
4660,Theory,7,3,37
57948,Theory,7,2,38
3240,Theory,7,3,39
35,Genetic_Algorithms,168,27,0
887,Genetic_Algorithms,30,10,1
82920,Genetic_Algorithms,23,2,2
12576,Genetic_Algorithms,22,9,3
85352,Genetic_Algorithms,17,2,4
1688,Genetic_Algorithms,17,2,5
210871,Genetic_Algorithms,16,6,6
54129,Genetic_Algorithms,15,3,7
54131,Genetic_Algorithms,15,3,8
35061,Genetic_Algorithms,15,6,9
38205,Genetic_Algorithms,14,4,10
56115,Genetic_Algorithms,12,4,11
287787,Genetic_Algorithms,12,2,12
22229,Genetic_Algorithms,12,1,13
41714,Genetic_Algorithms,12,2,14
108047,Genetic_Algorithms,12,3,15
57119,Genetic_Algorithms,11,0,16
