method,k,split_trial,test_auc_sampled,test_ap_sampled,test_auc_all_candidates,test_ap_all_candidates,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,hit_rate_at_10,ap_sampled_mean,auc_sampled_mean,ap_all_candidates_mean,auc_all_candidates_mean,precision_at_10_mean,recall_at_10_mean,ndcg_at_10_mean,map_at_10_mean,hit_rate_at_10_mean
popularity,,0,0.5773875114784206,0.19449828050849938,0.5628108718191005,0.020108729911245973,0.015517241379310345,0.07183908045977011,0.040753344110972214,0.022892720306513414,0.13793103448275862,0.1996838380713283,0.5668732782369146,0.018514044102107677,0.5572020551990237,0.012959206671174216,0.06601870633310795,0.040180830149909516,0.024372887085868832,0.11809781383817895
genre_cosine,,0,0.6092056932966023,0.31451863931144225,0.6139480556977308,0.05441579706510726,0.0603448275862069,0.2228448275862069,0.1624175142268955,0.10517737411056376,0.41379310344827586,0.2653784601114646,0.597757881848791,0.036708071915355474,0.5949337462979732,0.05482307865675007,0.21305029674705134,0.1382802561612996,0.08279593430603403,0.39666441289159343
popularity_genre,,0,0.643595041322314,0.24204469354525643,0.6419380028085095,0.022801036201103672,0.06551724137931035,0.28908045977011493,0.18108685412266662,0.11705972906403941,0.5,0.23996628469401524,0.6212197734925008,0.022208153785389154,0.617815224571396,0.05868830290736985,0.2703346855983773,0.1733042593590368,0.11590679641375494,0.4656299301329727
item_item,,0,0.004545454545454519,0.16666666666666666,0.0035729753139887577,0.014090520922288642,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.003030303030303031,0.014090520922288642,0.0035729753139887577,0.0,0.0,0.0,0.0,0.0
proposed_dual_expfam,3.0,0,0.8778696051423325,0.7552462108271892,0.8709398007795582,0.33513520299220095,0.14482758620689656,0.5685344827586206,0.45140036579351017,0.3669998631636563,0.6724137931034483,0.6765485632553161,0.8669676563615958,0.23839791554497433,0.8692183856757265,0.1419840733228157,0.5356177847895225,0.40771386459111075,0.31509398331490956,0.6841709864022237
proposed_dual_expfam,5.0,0,0.904912764003673,0.7713955104877214,0.8970563145530663,0.2930525918176834,0.15862068965517243,0.6403735632183908,0.5097036508180446,0.4243768244845831,0.7413793103448276,0.6765485632553161,0.8669676563615958,0.23839791554497433,0.8692183856757265,0.1419840733228157,0.5356177847895225,0.40771386459111075,0.31509398331490956,0.6841709864022237
proposed_dual_expfam,8.0,0,0.8735078053259872,0.6680754558969297,0.870765909419006,0.16742401691087377,0.13620689655172413,0.518103448275862,0.3558899699112696,0.2594884601350118,0.6724137931034483,0.6765485632553161,0.8669676563615958,0.23839791554497433,0.8692183856757265,0.1419840733228157,0.5356177847895225,0.40771386459111075,0.31509398331490956,0.6841709864022237
popularity,,1,0.5534664830119375,0.21051486412338183,0.5637820386629395,0.01810036919476281,0.015517241379310343,0.07327586206896551,0.04810636503214151,0.028591954022988506,0.13793103448275862,0.1996838380713283,0.5668732782369146,0.018514044102107677,0.5572020551990237,0.012959206671174216,0.06601870633310795,0.040180830149909516,0.024372887085868832,0.11809781383817895
genre_cosine,,1,0.5837235996326906,0.2318765022207498,0.5706950404871582,0.02158204457257203,0.04137931034482759,0.17643678160919543,0.10202326646977632,0.05456041324575807,0.3448275862068966,0.2653784601114646,0.597757881848791,0.036708071915355474,0.5949337462979732,0.05482307865675007,0.21305029674705134,0.1382802561612996,0.08279593430603403,0.39666441289159343
popularity_genre,,1,0.6085399449035812,0.23531778865214772,0.6050057745055579,0.022722477445959934,0.05172413793103448,0.26408045977011496,0.1426178105136831,0.08014504652435686,0.46551724137931033,0.23996628469401524,0.6212197734925008,0.022208153785389154,0.617815224571396,0.05868830290736985,0.2703346855983773,0.1733042593590368,0.11590679641375494,0.4656299301329727
