k,trial,factor,side,rank,movie_id,title,genres,primary_genre,z_value,rating_count,like_count,avg_rating,high_rating_rate
8,2,0,high,1,250,"Fifth Element, The (1997)",Action|Sci-Fi,Action,2.0031158627403007,197,111,3.4771573604060912,0.5634517766497462
8,2,0,high,2,324,Lost Highway (1997),Mystery,Mystery,1.8591242380733868,125,56,3.136,0.448
8,2,0,high,3,298,Face/Off (1997),Action|Sci-Fi|Thriller,Action,1.8029579425022761,194,129,3.768041237113402,0.6649484536082474
8,2,0,high,4,129,Bound (1996),Crime|Drama|Romance|Thriller,Crime,1.7359702134116772,129,88,3.8217054263565893,0.6821705426356589
8,2,0,high,5,23,Taxi Driver (1976),Drama|Thriller,Drama,1.7148550999224508,182,146,4.1208791208791204,0.8021978021978022
8,2,0,high,6,327,Cop Land (1997),Crime|Drama|Mystery,Crime,1.6109551814667584,175,83,3.3771428571428572,0.4742857142857143
8,2,0,high,7,147,"Long Kiss Goodnight, The (1996)",Action|Thriller,Action,1.5936100581549524,185,99,3.4702702702702704,0.5351351351351351
8,2,0,high,8,248,Grosse Pointe Blank (1997),Comedy|Crime,Comedy,1.551120394398221,160,107,3.675,0.66875
8,2,0,high,9,307,"Devil's Advocate, The (1997)",Crime|Horror|Mystery|Thriller,Crime,1.5483545629913604,188,108,3.515957446808511,0.574468085106383
8,2,0,high,10,293,Donnie Brasco (1997),Crime|Drama,Crime,1.4858422258854498,147,101,3.802721088435374,0.6870748299319728
8,2,0,low,1,312,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery,Comedy,-1.3923077671882647,80,31,3.1625,0.3875
8,2,0,low,2,356,"Client, The (1994)",Drama|Mystery|Thriller,Drama,-1.0253318881928934,97,48,3.381443298969072,0.4948453608247423
8,2,0,low,3,739,Pretty Woman (1990),Comedy|Romance,Comedy,-0.9382502389550589,164,78,3.323170731707317,0.47560975609756095
8,2,0,low,4,66,While You Were Sleeping (1995),Comedy|Romance,Comedy,-0.8925273812709209,162,85,3.549382716049383,0.5246913580246914
8,2,0,low,5,402,Ghost (1990),Comedy|Romance|Thriller,Comedy,-0.8462379439027066,170,86,3.4647058823529413,0.5058823529411764
8,2,0,low,6,72,"Mask, The (1994)",Comedy|Crime|Fantasy,Comedy,-0.8453803139077594,129,52,3.193798449612403,0.40310077519379844
8,2,0,low,7,472,Dragonheart (1996),Action|Adventure|Fantasy,Action,-0.8260141636113202,158,51,3.0822784810126582,0.3227848101265823
8,2,0,low,8,38,"Net, The (1995)",Sci-Fi|Thriller,Sci-Fi,-0.8025379970480275,120,30,3.0083333333333333,0.25
8,2,0,low,9,62,Stargate (1994),Action|Adventure|Sci-Fi,Action,-0.7866040406242165,127,43,3.141732283464567,0.33858267716535434
8,2,0,low,10,133,Gone with the Wind (1939),Drama|Romance|War,Drama,-0.7051418918394126,171,116,3.871345029239766,0.6783625730994152
