movie_i,title_i,movie_j,title_j,factor,z_i_factor,z_j_factor,factor_contribution,absolute_contribution_rank,tentative_factor_label
134,Citizen Kane (1941),479,Vertigo (1958),0,0.9151296547993979,0.8886820839855039,0.15666362419951183,6,"tentative: popularity-related (positively associated with like_count, r=0.35)"
134,Citizen Kane (1941),479,Vertigo (1958),1,-0.30730052953105375,-0.593315200865038,0.035122700409816104,7,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
134,Citizen Kane (1941),479,Vertigo (1958),2,1.7040607593775747,1.766346255943523,0.5798291343327285,1,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
134,Citizen Kane (1941),479,Vertigo (1958),3,1.6638368157627215,1.564686530327076,0.5015072192211251,2,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
134,Citizen Kane (1941),479,Vertigo (1958),4,1.6132187846366297,1.6028187693533595,0.49810030227825225,3,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
134,Citizen Kane (1941),479,Vertigo (1958),5,1.5939194609420473,1.591190455074848,0.4885709645609401,4,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
134,Citizen Kane (1941),479,Vertigo (1958),6,-0.519964207966339,-0.2974596084771441,0.029794806355443536,8,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
134,Citizen Kane (1941),479,Vertigo (1958),7,0.8581660713182877,1.0419955396528928,0.1722567763711594,5,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
272,Good Will Hunting (1997),315,Apt Pupil (1998),0,0.949603774999576,0.3861952431740697,0.0706461449511314,5,"tentative: popularity-related (positively associated with like_count, r=0.35)"
272,Good Will Hunting (1997),315,Apt Pupil (1998),1,-0.18733106455651735,-0.5705473092559944,0.020589252424703053,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
272,Good Will Hunting (1997),315,Apt Pupil (1998),2,-1.0909775500488863,-1.4427037476831575,0.30320201923183016,3,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
272,Good Will Hunting (1997),315,Apt Pupil (1998),3,0.5295962853265241,0.47038925846945523,0.04798897142627158,7,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
272,Good Will Hunting (1997),315,Apt Pupil (1998),4,2.954283999685758,2.527801419155949,1.438580970354753,1,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
272,Good Will Hunting (1997),315,Apt Pupil (1998),5,1.6260780886945834,1.1541011782006005,0.36151339827824014,2,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
272,Good Will Hunting (1997),315,Apt Pupil (1998),6,0.8818514957022132,0.32379587774764534,0.055005470864300375,6,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
272,Good Will Hunting (1997),315,Apt Pupil (1998),7,0.8337358542366586,0.8847927156508066,0.14210492586145762,4,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
479,Vertigo (1958),480,North by Northwest (1959),0,0.8886820839855039,0.8163004945240432,0.13974478177742305,6,"tentative: popularity-related (positively associated with like_count, r=0.35)"
479,Vertigo (1958),480,North by Northwest (1959),1,-0.593315200865038,-0.07887239721630197,0.009014665813493982,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
479,Vertigo (1958),480,North by Northwest (1959),2,1.766346255943523,1.3898200024480982,0.4729045748299135,4,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
479,Vertigo (1958),480,North by Northwest (1959),3,1.564686530327076,1.6387166418688102,0.4939355941455545,2,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
479,Vertigo (1958),480,North by Northwest (1959),4,1.6028187693533595,1.5824933807079768,0.4886134718927936,3,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
479,Vertigo (1958),480,North by Northwest (1959),5,1.591190455074848,1.9132931553466688,0.5864659446739473,1,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
479,Vertigo (1958),480,North by Northwest (1959),6,-0.2974596084771441,-0.3636473916367981,0.020837595068047356,7,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
479,Vertigo (1958),480,North by Northwest (1959),7,1.0419955396528928,1.0293696175443459,0.20662188583174257,5,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
134,Citizen Kane (1941),480,North by Northwest (1959),0,0.9151296547993979,0.8163004945240432,0.14390364812404208,6,"tentative: popularity-related (positively associated with like_count, r=0.35)"
134,Citizen Kane (1941),480,North by Northwest (1959),1,-0.30730052953105375,-0.07887239721630197,0.0046690386054382095,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
134,Citizen Kane (1941),480,North by Northwest (1959),2,1.7040607593775747,1.3898200024480982,0.4562288544424315,4,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
134,Citizen Kane (1941),480,North by Northwest (1959),3,1.6638368157627215,1.6387166418688102,0.5252350616089316,2,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
134,Citizen Kane (1941),480,North by Northwest (1959),4,1.6132187846366297,1.5824933807079768,0.49178387872384594,3,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
134,Citizen Kane (1941),480,North by Northwest (1959),5,1.5939194609420473,1.9132931553466688,0.5874717758733636,1,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
134,Citizen Kane (1941),480,North by Northwest (1959),6,-0.519964207966339,-0.3636473916367981,0.03642445329283438,7,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
134,Citizen Kane (1941),480,North by Northwest (1959),7,0.8581660713182877,1.0293696175443459,0.17016953073682958,5,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
134,Citizen Kane (1941),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),0,0.9151296547993979,0.8261128440460163,0.14563344358827665,5,"tentative: popularity-related (positively associated with like_count, r=0.35)"
134,Citizen Kane (1941),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1,-0.30730052953105375,0.3251483152863348,-0.01924792563869623,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
134,Citizen Kane (1941),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),2,1.7040607593775747,1.9047794702409513,0.6252718727193189,1,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
134,Citizen Kane (1941),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),3,1.6638368157627215,1.8707692539362155,0.5996116590521244,2,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
134,Citizen Kane (1941),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4,1.6132187846366297,1.3726208946115608,0.4265628127098213,4,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
134,Citizen Kane (1941),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),5,1.5939194609420473,1.4578366543546004,0.44762502069987414,3,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
134,Citizen Kane (1941),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),6,-0.519964207966339,-0.45027100749106214,0.04510103924478703,7,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
134,Citizen Kane (1941),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),7,0.8581660713182877,0.797704495805832,0.13187197038297055,6,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),479,Vertigo (1958),0,0.8261128440460163,0.8886820839855039,0.14142458554070692,6,"tentative: popularity-related (positively associated with like_count, r=0.35)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),479,Vertigo (1958),1,0.3251483152863348,-0.593315200865038,-0.037162600676235835,7,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),479,Vertigo (1958),2,1.9047794702409513,1.766346255943523,0.648126321345475,1,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),479,Vertigo (1958),3,1.8707692539362155,1.564686530327076,0.563879989586507,2,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),479,Vertigo (1958),4,1.3726208946115608,1.6028187693533595,0.4238128696681799,4,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),479,Vertigo (1958),5,1.4578366543546004,1.591190455074848,0.4468586260747196,3,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),479,Vertigo (1958),6,-0.45027100749106214,-0.2974596084771441,0.025801271068517772,8,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),479,Vertigo (1958),7,0.797704495805832,1.0419955396528928,0.16012052857462516,5,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),480,North by Northwest (1959),0,0.8261128440460163,0.8163004945240432,0.12990580230558585,6,"tentative: popularity-related (positively associated with like_count, r=0.35)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),480,North by Northwest (1959),1,0.3251483152863348,-0.07887239721630197,-0.004940212888281665,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),480,North by Northwest (1959),2,1.9047794702409513,1.3898200024480982,0.509967353506167,3,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),480,North by Northwest (1959),3,1.8707692539362155,1.6387166418688102,0.5905588787544958,1,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),480,North by Northwest (1959),4,1.3726208946115608,1.5824933807079768,0.41843848707819065,4,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),480,North by Northwest (1959),5,1.4578366543546004,1.9132931553466688,0.5373156607052174,2,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),480,North by Northwest (1959),6,-0.45027100749106214,-0.3636473916367981,0.031542315855974105,7,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),480,North by Northwest (1959),7,0.797704495805832,1.0293696175443459,0.15818033857876776,5,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
23,Taxi Driver (1976),134,Citizen Kane (1941),0,1.7148550999224508,0.9151296547993979,0.30230767534551695,5,"tentative: popularity-related (positively associated with like_count, r=0.35)"
23,Taxi Driver (1976),134,Citizen Kane (1941),1,0.20899331459612153,-0.30730052953105375,-0.012371854901933911,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
23,Taxi Driver (1976),134,Citizen Kane (1941),2,1.8059727097602039,1.7040607593775747,0.592837100543141,1,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
23,Taxi Driver (1976),134,Citizen Kane (1941),3,1.2925175861539115,1.6638368157627215,0.4142726915984574,4,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
23,Taxi Driver (1976),134,Citizen Kane (1941),4,1.4363815911785658,1.6132187846366297,0.44637741860335606,2,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
23,Taxi Driver (1976),134,Citizen Kane (1941),5,1.4348344289156443,1.5939194609420473,0.4405622461376484,3,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
23,Taxi Driver (1976),134,Citizen Kane (1941),6,-0.3879720052642846,-0.519964207966339,0.03886090897302678,7,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
23,Taxi Driver (1976),134,Citizen Kane (1941),7,0.6921572780056511,0.8581660713182877,0.11442350462537208,6,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
23,Taxi Driver (1976),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),0,1.7148550999224508,0.8261128440460163,0.2729014977788796,5,"tentative: popularity-related (positively associated with like_count, r=0.35)"
23,Taxi Driver (1976),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1,0.20899331459612153,0.3251483152863348,0.013090403015150966,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
23,Taxi Driver (1976),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),2,1.8059727097602039,1.9047794702409513,0.6626664760030071,1,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
23,Taxi Driver (1976),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),3,1.2925175861539115,1.8707692539362155,0.4657960485340754,2,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
23,Taxi Driver (1976),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4,1.4363815911785658,1.3726208946115608,0.37980401511116,4,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
23,Taxi Driver (1976),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),5,1.4348344289156443,1.4578366543546004,0.4029487101968506,3,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
23,Taxi Driver (1976),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),6,-0.3879720052642846,-0.45027100749106214,0.03365220214626002,7,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
23,Taxi Driver (1976),474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),7,0.6921572780056511,0.797704495805832,0.10636186528011203,6,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
23,Taxi Driver (1976),479,Vertigo (1958),0,1.7148550999224508,0.8886820839855039,0.29357087656585457,5,"tentative: popularity-related (positively associated with like_count, r=0.35)"
23,Taxi Driver (1976),479,Vertigo (1958),1,0.20899331459612153,-0.593315200865038,-0.023886745614840374,7,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
23,Taxi Driver (1976),479,Vertigo (1958),2,1.8059727097602039,1.766346255943523,0.6145060187356671,1,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
23,Taxi Driver (1976),479,Vertigo (1958),3,1.2925175861539115,1.564686530327076,0.38958562179026185,4,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
23,Taxi Driver (1976),479,Vertigo (1958),4,1.4363815911785658,1.6028187693533595,0.4434997357869938,2,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
23,Taxi Driver (1976),479,Vertigo (1958),5,1.4348344289156443,1.591190455074848,0.43980794393854883,3,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
23,Taxi Driver (1976),479,Vertigo (1958),6,-0.3879720052642846,-0.2974596084771441,0.022231435531675694,8,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
23,Taxi Driver (1976),479,Vertigo (1958),7,0.6921572780056511,1.0419955396528928,0.13893439211356184,6,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
480,North by Northwest (1959),511,Lawrence of Arabia (1962),0,0.8163004945240432,0.21997769721066188,0.03459137507840816,6,"tentative: popularity-related (positively associated with like_count, r=0.35)"
480,North by Northwest (1959),511,Lawrence of Arabia (1962),1,-0.07887239721630197,-0.1728213084051428,0.0026257987970841217,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
480,North by Northwest (1959),511,Lawrence of Arabia (1962),2,1.3898200024480982,1.3056041182331148,0.349549901867574,3,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
480,North by Northwest (1959),511,Lawrence of Arabia (1962),3,1.6387166418688102,2.2353192753546907,0.7056389461897724,1,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
480,North by Northwest (1959),511,Lawrence of Arabia (1962),4,1.5824933807079768,1.1150454493080777,0.3399175494584982,4,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
480,North by Northwest (1959),511,Lawrence of Arabia (1962),5,1.9132931553466688,1.7450154717212483,0.6431613160006772,2,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
480,North by Northwest (1959),511,Lawrence of Arabia (1962),6,-0.3636473916367981,-0.2894841946733987,0.02027890259819113,7,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
480,North by Northwest (1959),511,Lawrence of Arabia (1962),7,1.0293696175443459,1.0182001818017001,0.20190339949840144,5,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
23,Taxi Driver (1976),480,North by Northwest (1959),0,1.7148550999224508,0.8163004945240432,0.269660046080633,5,"tentative: popularity-related (positively associated with like_count, r=0.35)"
23,Taxi Driver (1976),480,North by Northwest (1959),1,0.20899331459612153,-0.07887239721630197,-0.003175386178529759,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
23,Taxi Driver (1976),480,North by Northwest (1959),2,1.8059727097602039,1.3898200024480982,0.4835137808285327,2,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
23,Taxi Driver (1976),480,North by Northwest (1959),3,1.2925175861539115,1.6387166418688102,0.4080181106480525,4,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
23,Taxi Driver (1976),480,North by Northwest (1959),4,1.4363815911785658,1.5824933807079768,0.43787570350938837,3,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
23,Taxi Driver (1976),480,North by Northwest (1959),5,1.4348344289156443,1.9132931553466688,0.5288377177734732,1,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
23,Taxi Driver (1976),480,North by Northwest (1959),6,-0.3879720052642846,-0.3636473916367981,0.027178155665651262,7,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
23,Taxi Driver (1976),480,North by Northwest (1959),7,0.6921572780056511,1.0293696175443459,0.13725091579694682,6,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
479,Vertigo (1958),511,Lawrence of Arabia (1962),0,0.8886820839855039,0.21997769721066188,0.03765860182472125,6,"tentative: popularity-related (positively associated with like_count, r=0.35)"
479,Vertigo (1958),511,Lawrence of Arabia (1962),1,-0.593315200865038,-0.1728213084051428,0.019752491311385376,7,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
479,Vertigo (1958),511,Lawrence of Arabia (1962),2,1.766346255943523,1.3056041182331148,0.4442490101895569,3,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
479,Vertigo (1958),511,Lawrence of Arabia (1962),3,1.564686530327076,2.2353192753546907,0.6737612386228028,1,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
479,Vertigo (1958),511,Lawrence of Arabia (1962),4,1.6028187693533595,1.1150454493080777,0.3442834168828783,4,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
