k,trial,seed,bic,q_strict,rmse_y,mae_y,pearson_corr,spearman_corr,high_colike_ap,high_colike_auc,high_colike_threshold,rmse_x,nmi_primary_genre,ari_primary_genre,silhouette,w0,w,success,nan_occurred,runtime_seconds,error_message
2,0,21200,31792.637073810114,-15811.122888464277,4.832221362132406,3.5738036502647166,0.9065696394049654,0.86422597921977,0.8378184425259442,0.9604235843888849,28.0,0.37863373638647535,0.27560480779706625,0.04996449859486035,-0.3867503869441804,2.119470974576424,0.45903909375822105,True,False,7.33,
2,1,21210,31827.99530780125,-15828.802005459846,4.819855693081997,3.5544534718644445,0.9071883814670978,0.8621618479824998,0.8455490006395622,0.9602748040495304,28.0,0.38111922891880795,0.26230360772501404,0.043085764195872185,-0.3730570888102238,2.123794060680849,0.45854044072496647,True,False,7.11,
2,2,21220,31807.90907373287,-15818.758888425655,4.85212468347269,3.588922312604504,0.9057751897593376,0.8625312203565441,0.8393675852228586,0.9605727873996579,28.0,0.38071753815046594,0.2625917102614144,0.0388056246399532,-0.3843985129604265,2.1184559033940733,0.4599446337790989,True,False,7.21,
3,0,21300,29410.10281200072,-14580.711810978682,3.9500608820863623,2.9925102456829107,0.9389702922990217,0.9079937241948883,0.8990457643103172,0.9831070914119932,28.0,0.35829235852824914,0.26920908890044165,0.032799368030176225,-0.37547159824630383,2.0721931957826305,0.37864912420385494,True,False,7.62,
3,1,21310,29452.42346145736,-14601.872135707003,3.969542422964451,3.017985100505974,0.9384083773896198,0.9088865667910623,0.8940506455487399,0.9827317591922579,28.0,0.3570696652753718,0.29175710637508373,0.05227289921571074,-0.37380761469632,2.07672960737455,0.3785906233513279,True,False,7.43,
3,2,21320,29442.793115645178,-14597.05696280091,3.955938929636024,2.9919620090542742,0.9389484766241565,0.9082874256233145,0.8981746963307612,0.9827216150782111,28.0,0.35441626281505384,0.28339254915033135,0.05221687496327382,-0.36184816211680393,2.0769521267559505,0.3791995837044317,True,False,7.59,
5,0,21500,28669.432967160144,-14138.996750675578,3.355250590700602,2.5662006268995747,0.9562461252081207,0.9287205734050784,0.9335673899466387,0.9896889307427521,28.0,0.3344330138335603,0.27869459831546706,0.054450897991363656,-0.38082996096839067,2.048082773047145,0.27092934220166937,True,False,7.91,
5,1,21510,28683.27720919992,-14145.918871695467,3.337993517097111,2.593911398611888,0.9567034518986148,0.927298331853908,0.9341454501087207,0.990584571478809,28.0,0.33557645338050357,0.2664116886301252,0.030457838514124605,-0.36361551947246973,2.046365888254021,0.26991239952271867,True,False,7.86,
5,2,21520,28649.106923712898,-14128.833728951955,3.3525967359153834,2.5887020159194205,0.956437345999118,0.9279182836343904,0.9338899193104602,0.9904049361258952,28.0,0.33132788339408925,0.25197748150963883,0.02283678641331967,-0.3767015653327789,2.043911867332106,0.270809054904046,True,False,7.81,
8,0,21800,28795.18260695827,-14112.070751947875,3.103586381840249,2.3844720293213837,0.9625802502264034,0.936900508277724,0.9511519227148497,0.9928948934529889,28.0,0.26842919209178256,0.2955637053235593,0.053401261292178086,-0.3822068540994898,2.0180942828464152,0.19235290048313633,True,False,8.14,
8,1,21810,28833.28858732311,-14131.123742130294,3.12491973095969,2.409241119824886,0.9622826003807201,0.936547942428726,0.9568762231998542,0.9938306879738147,28.0,0.27134347966835437,0.22043013953876464,0.019795488562459437,-0.37467133413832676,2.024647634393117,0.19209648113078565,True,False,8.14,
8,2,21820,28807.741732934443,-14118.35031493596,3.0914262213526666,2.3851067431685364,0.962804631298299,0.9364733282335548,0.948835043256648,0.992642981287491,28.0,0.2627914072210646,0.24746929658994068,0.023760064376981256,-0.40119383015440085,2.0186894353747724,0.19263673795350286,True,False,8.15,
