rank,movie_i,title_i,genres_i,movie_j,title_j,genres_j,observed_colike_count,predicted_colike_count,lift,like_count_i,like_count_j,genre_cosine,model_score,top_contributing_factor_1,top_contributing_factor_2,contribution_factor_1,contribution_factor_2
1,134,Citizen Kane (1941),Drama,479,Vertigo (1958),Mystery|Thriller,92.0,88.28188759799902,3.3057460752934,162,162,0.0,88.28188759799902,2,3,0.5798291343327285,0.5015072192211251
2,272,Good Will Hunting (1997),Drama,315,Apt Pupil (1998),Drama|Thriller,81.0,86.34238289947096,3.726,164,125,0.7071067811865475,86.34238289947096,4,5,1.438580970354753,0.36151339827824014
3,479,Vertigo (1958),Mystery|Thriller,480,North by Northwest (1959),Comedy|Thriller,99.0,84.50645731798033,3.742063492063492,162,154,0.4999999999999999,84.50645731798033,5,3,0.5864659446739473,0.4939355941455545
4,134,Citizen Kane (1941),Drama,480,North by Northwest (1959),Comedy|Thriller,87.0,84.3163399159884,3.2884800384800386,162,154,0.0,84.3163399159884,5,3,0.5874717758733636,0.5252350616089316
5,134,Citizen Kane (1941),Drama,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,83.0,83.18934944322146,3.137285553952221,162,154,0.0,83.18934944322146,2,3,0.6252718727193189,0.5996116590521244
6,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,479,Vertigo (1958),Mystery|Thriller,74.0,80.76559145973096,2.7970979637646303,154,162,0.0,80.76559145973096,2,3,0.648126321345475,0.563879989586507
7,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,480,North by Northwest (1959),Comedy|Thriller,84.0,80.61284945065616,3.340023612750885,154,154,0.0,80.61284945065616,3,5,0.5905588787544958,0.5373156607052174
8,23,Taxi Driver (1976),Drama|Thriller,134,Citizen Kane (1941),Drama,82.0,77.94154528406125,3.2693218332487737,146,162,0.7071067811865475,77.94154528406125,2,4,0.592837100543141,0.44637741860335606
9,23,Taxi Driver (1976),Drama|Thriller,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,76.0,77.93776732608445,3.187511119017968,146,154,0.0,77.93776732608445,2,3,0.6626664760030071,0.4657960485340754
10,23,Taxi Driver (1976),Drama|Thriller,479,Vertigo (1958),Mystery|Thriller,72.0,76.47307470382388,2.87062404870624,146,162,0.4999999999999999,76.47307470382388,2,4,0.6145060187356671,0.4434997357869938
11,480,North by Northwest (1959),Comedy|Thriller,511,Lawrence of Arabia (1962),Adventure|War,71.0,74.91518634142585,2.9983430362740706,154,145,0.0,74.91518634142585,3,5,0.7056389461897724,0.6431613160006772
12,23,Taxi Driver (1976),Drama|Thriller,480,North by Northwest (1959),Comedy|Thriller,69.0,74.28050087279948,2.893924568582103,146,154,0.4999999999999999,74.28050087279948,5,2,0.5288377177734732,0.4835137808285327
13,479,Vertigo (1958),Mystery|Thriller,511,Lawrence of Arabia (1962),Adventure|War,73.0,73.27702889930231,2.93056619838229,162,145,0.0,73.27702889930231,3,5,0.6737612386228028,0.5348851764999011
14,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,511,Lawrence of Arabia (1962),Adventure|War,76.0,73.25658415735525,3.2094939543215406,154,145,0.4999999999999999,73.25658415735525,3,5,0.8055618715181508,0.49005775121734624
15,134,Citizen Kane (1941),Drama,511,Lawrence of Arabia (1962),Adventure|War,74.0,73.14017389215873,2.970710940825883,162,145,0.0,73.14017389215873,3,5,0.7164558089601345,0.5358025429787476
16,498,"African Queen, The (1951)",Action|Adventure|Romance|War,511,Lawrence of Arabia (1962),Adventure|War,63.0,72.07752223570479,3.304171301446051,124,145,0.7071067811865475,72.07752223570479,3,5,0.7777883541847984,0.6873307402889341
17,480,North by Northwest (1959),Comedy|Thriller,498,"African Queen, The (1951)",Action|Adventure|Romance|War,68.0,69.92332981912843,3.3579807289484704,154,124,0.0,69.92332981912843,5,3,0.7536123445123513,0.5701980624902623
18,208,Young Frankenstein (1974),Comedy|Horror,479,Vertigo (1958),Mystery|Thriller,59.0,69.71321062104478,2.4357324227300587,141,162,0.0,69.71321062104478,3,2,0.6431182104504136,0.633137540180988
19,479,Vertigo (1958),Mystery|Thriller,527,Gandhi (1982),Drama,55.0,69.67481827291405,2.1928378149839336,162,146,0.0,69.67481827291405,4,3,0.5680595454565605,0.5320180146176829
20,134,Citizen Kane (1941),Drama,654,Chinatown (1974),Film-Noir|Mystery|Thriller,71.0,69.22381152813162,3.723334445556668,162,111,0.0,69.22381152813162,5,2,0.689388199693769,0.6535911656599764
21,134,Citizen Kane (1941),Drama,208,Young Frankenstein (1974),Comedy|Horror,68.0,68.90596963083392,2.807284826197356,162,141,0.0,68.90596963083392,3,2,0.6838710084704047,0.6108116310043351
22,479,Vertigo (1958),Mystery|Thriller,654,Chinatown (1974),Film-Noir|Mystery|Thriller,63.0,68.62143140330666,3.303803803803804,162,111,0.816496580927726,68.62143140330666,5,2,0.6882078737815486,0.6774807189404112
23,480,North by Northwest (1959),Comedy|Thriller,654,Chinatown (1974),Film-Noir|Mystery|Thriller,64.0,68.43085784377959,3.5305955305955306,154,111,0.408248290463863,68.43085784377959,5,2,0.8275209357637724,0.5330643701867747
24,479,Vertigo (1958),Mystery|Thriller,498,"African Queen, The (1951)",Action|Adventure|Romance|War,74.0,68.27004836363704,3.473815213062525,162,124,0.0,68.27004836363704,5,3,0.6267417860476062,0.5444389867058753
25,23,Taxi Driver (1976),Drama|Thriller,654,Chinatown (1974),Film-Noir|Mystery|Thriller,69.0,68.22173871946275,4.014994446501295,146,111,0.408248290463863,68.22173871946275,2,5,0.6926794141738345,0.6205821235309941
26,134,Citizen Kane (1941),Drama,498,"African Queen, The (1951)",Action|Adventure|Romance|War,71.0,68.00331468812676,3.3329848665870174,162,124,0.0,68.00331468812676,5,3,0.6278166932065123,0.5789387282757711
27,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,498,"African Queen, The (1951)",Action|Adventure|Romance|War,68.0,67.67906334967955,3.3579807289484704,154,124,0.35355339059327373,67.67906334967955,3,5,0.6509417044451914,0.5742160818032874
28,209,This Is Spinal Tap (1984),Comedy|Drama|Musical,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,63.0,67.60366752416328,2.8575757575757574,135,154,0.0,67.60366752416328,3,2,0.7400932795298076,0.6585838298805854
29,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,654,Chinatown (1974),Film-Noir|Mystery|Thriller,67.0,67.26086052507858,3.696092196092196,154,111,0.0,67.26086052507858,2,5,0.7305766695400611,0.6305308462694316
30,134,Citizen Kane (1941),Drama,527,Gandhi (1982),Drama,62.0,66.78989734534844,2.4719262641637068,162,146,1.0,66.78989734534844,4,3,0.5717454443663538,0.5657306701457023
31,480,North by Northwest (1959),Comedy|Thriller,527,Gandhi (1982),Drama,59.0,65.91529192859379,2.474515210816581,154,146,0.0,65.91529192859379,4,3,0.5608559668262814,0.557189416173831
32,514,Annie Hall (1977),Comedy|Romance,654,Chinatown (1974),Film-Noir|Mystery|Thriller,60.0,65.77859874988482,4.01361991913173,127,111,0.0,65.77859874988482,5,2,0.9356289828671114,0.6364237065801065
33,511,Lawrence of Arabia (1962),Adventure|War,527,Gandhi (1982),Drama,62.0,62.9285547051866,2.761738308927728,145,146,0.0,62.9285547051866,3,5,0.7600436891741172,0.44113316111976314
34,134,Citizen Kane (1941),Drama,209,This Is Spinal Tap (1984),Comedy|Drama|Musical,65.0,62.81907639898911,2.802697759487883,162,135,0.5773502691896258,62.81907639898911,3,2,0.6582289306868465,0.5891846687733027
35,484,"Maltese Falcon, The (1941)",Film-Noir|Mystery,498,"African Queen, The (1951)",Action|Adventure|Romance|War,61.0,62.7580280465404,4.141921082949309,112,124,0.0,62.7580280465404,5,3,0.8123397217241006,0.4788623225465682
36,480,North by Northwest (1959),Comedy|Thriller,484,"Maltese Falcon, The (1941)",Film-Noir|Mystery,67.0,62.7223914601907,3.6630913729128016,154,112,0.0,62.7223914601907,5,3,0.7601369382141514,0.4344419697642619
37,208,Young Frankenstein (1974),Comedy|Horror,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,61.0,62.337796255497935,2.6491203831629364,141,154,0.0,62.337796255497935,3,2,0.7689244787616454,0.6827581989191599
38,484,"Maltese Falcon, The (1941)",Film-Noir|Mystery,654,Chinatown (1974),Film-Noir|Mystery|Thriller,51.0,62.08299197563795,3.868484555984556,112,111,0.816496580927726,62.08299197563795,5,2,0.8920078493594696,0.5464789059399566
39,498,"African Queen, The (1951)",Action|Adventure|Romance|War,654,Chinatown (1974),Film-Noir|Mystery|Thriller,50.0,62.05415914018444,3.425603022377216,124,111,0.0,62.05415914018444,5,2,0.884351348927376,0.5799871345134203
