strategy,threshold,density,positive_edges,random_AP_baseline
top_rated_100,1,1.0,4950,1.0
top_rated_100,5,1.0,4950,1.0
top_rated_100,10,1.0,4950,1.0
top_rated_100,20,1.0,4950,1.0
top_rated_100,30,1.0,4950,1.0
top_rated_100,50,0.9873,4887,0.9873
mid_popular_100,1,1.0,4950,1.0
mid_popular_100,5,1.0,4950,1.0
mid_popular_100,10,0.9996,4948,0.9996
mid_popular_100,20,0.9774,4838,0.9774
mid_popular_100,30,0.8564,4239,0.8564
mid_popular_100,50,0.5374,2660,0.5374
genre_stratified_mp100,1,1.0,4950,1.0
genre_stratified_mp100,5,0.9994,4947,0.9994
genre_stratified_mp100,10,0.9911,4906,0.9911
genre_stratified_mp100,20,0.9109,4509,0.9109
genre_stratified_mp100,30,0.7358,3642,0.7358
genre_stratified_mp100,50,0.3871,1916,0.3871
