contrast,role,metric,cond_a,cond_b,split,value
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,0,-0.0017508584980512332
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,1,0.01726109062758674
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,2,-0.006129955905316287
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,3,0.007126754263269142
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,4,0.008721836334057542
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,5,0.009921440054197816
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,6,0.006623621968195437
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,7,0.00980952055602513
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,8,0.0005134713078231989
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,9,0.008742674665708883
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,10,0.010617481684792374
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,11,0.008457187045704195
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,12,0.005802900611160844
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,13,0.008130970529351966
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,14,0.005484125218296221
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,15,-0.009633212224314125
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,16,-0.02988408208221749
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,17,0.0016623786865830326
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,18,0.014412909998442913
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,19,0.020766581621395552
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,20,0.01633329478706136
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,21,-0.02963857570480899
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,22,0.01649681896999322
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,23,0.015502419933384637
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,24,0.003945174277796504
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,25,-0.005353409731942982
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,26,0.016885023142897637
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,27,-0.012606543596250575
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,28,0.003969579604734541
delta_primary,primary,test_y_ll,mixed_train_log,genre_only,29,0.005238299273443214
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,0,0.0025030352580661663
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,1,0.0009023883820757916
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,2,-0.005733958840727027
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,3,0.006940703639634727
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,4,0.007420836049560453
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,5,-0.002648386444005446
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,6,0.0023283146585297843
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,7,0.0029540149532794047
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,8,0.0039861576041877456
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,9,0.005247993715483901
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,10,-0.012042051829848077
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,11,0.002611459537386729
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,12,0.01193605842496881
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,13,0.011438076775351913
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,14,0.0036656092642601834
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,15,-0.012397415038739812
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,16,-0.020701054470411595
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,17,0.007421529171439012
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,18,0.009025556454345107
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,19,0.020560370818601292
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,20,0.013785183060614603
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,21,-0.01296295993257024
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,22,-0.008103244103542018
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,23,0.015606946337507033
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,24,0.0007019449145753143
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,25,0.00122121522362173
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,26,0.001558994583430895
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,27,-0.01768600585431246
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,28,0.017602308632410857
A_component,decomposition,test_y_ll,mixed_train_log,genre_logcount_train,29,0.0031274813204222873
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,0,-0.0042538937561173995
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,1,0.016358702245510948
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,2,-0.00039599706458925965
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,3,0.00018605062363441505
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,4,0.0013010002844970892
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,5,0.012569826498203263
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,6,0.0042953073096656524
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,7,0.006855505602745726
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,8,-0.0034726862963645466
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,9,0.003494680950224982
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,10,0.02265953351464045
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,11,0.0058457275083174665
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,12,-0.006133157813807966
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,13,-0.0033071062459999467
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,14,0.0018185159540360374
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,15,0.002764202814425687
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,16,-0.009183027611805894
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,17,-0.005759150484855979
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,18,0.005387353544097806
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,19,0.00020621080279425996
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,20,0.0025481117264467557
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,21,-0.01667561577223875
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,22,0.02460006307353524
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,23,-0.00010452640412239589
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,24,0.0032432293632211895
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,25,-0.006574624955564712
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,26,0.015326028559466742
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,27,0.005079462258061884
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,28,-0.013632729027676316
B_component,decomposition,test_y_ll,genre_logcount_train,genre_only,29,0.002110817953020927
P_positive_control,positive_control,test_y_ll,genre_only,y_only,0,0.02674030384232129
P_positive_control,positive_control,test_y_ll,genre_only,y_only,1,0.01638599634932625
P_positive_control,positive_control,test_y_ll,genre_only,y_only,2,0.051358766282914914
P_positive_control,positive_control,test_y_ll,genre_only,y_only,3,0.009545128738306374
P_positive_control,positive_control,test_y_ll,genre_only,y_only,4,0.025573763722176235
P_positive_control,positive_control,test_y_ll,genre_only,y_only,5,-0.001859305113948384
P_positive_control,positive_control,test_y_ll,genre_only,y_only,6,0.012880049248254366
P_positive_control,positive_control,test_y_ll,genre_only,y_only,7,0.0012835244314564065
P_positive_control,positive_control,test_y_ll,genre_only,y_only,8,0.015326716608221602
P_positive_control,positive_control,test_y_ll,genre_only,y_only,9,-0.004290281034481147
P_positive_control,positive_control,test_y_ll,genre_only,y_only,10,-0.0180799120951729
P_positive_control,positive_control,test_y_ll,genre_only,y_only,11,0.01133910161272933
P_positive_control,positive_control,test_y_ll,genre_only,y_only,12,0.022841880589443697
P_positive_control,positive_control,test_y_ll,genre_only,y_only,13,0.010625792643128129
P_positive_control,positive_control,test_y_ll,genre_only,y_only,14,-0.0038141244022642518
P_positive_control,positive_control,test_y_ll,genre_only,y_only,15,0.016401319065933784
P_positive_control,positive_control,test_y_ll,genre_only,y_only,16,0.03118314272600964
P_positive_control,positive_control,test_y_ll,genre_only,y_only,17,0.010860488008801461
P_positive_control,positive_control,test_y_ll,genre_only,y_only,18,0.011857518728363381
P_positive_control,positive_control,test_y_ll,genre_only,y_only,19,0.008098714438404375
P_positive_control,positive_control,test_y_ll,genre_only,y_only,20,0.006742553699790044
P_positive_control,positive_control,test_y_ll,genre_only,y_only,21,0.015843836738783867
P_positive_control,positive_control,test_y_ll,genre_only,y_only,22,-8.265357764702941e-05
P_positive_control,positive_control,test_y_ll,genre_only,y_only,23,0.01046796955364071
P_positive_control,positive_control,test_y_ll,genre_only,y_only,24,0.014790673013251432
P_positive_control,positive_control,test_y_ll,genre_only,y_only,25,0.010558198966914567
P_positive_control,positive_control,test_y_ll,genre_only,y_only,26,0.006045055863354687
P_positive_control,positive_control,test_y_ll,genre_only,y_only,27,0.0361340082890802
P_positive_control,positive_control,test_y_ll,genre_only,y_only,28,0.0022665651791067276
P_positive_control,positive_control,test_y_ll,genre_only,y_only,29,0.016090363856366974
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,0,0.024989445344270056
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,1,0.03364708697691299
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,2,0.04522881037759863
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,3,0.016671883001575516
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,4,0.03429560005623378
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,5,0.008062134940249432
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,6,0.019503671216449803
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,7,0.011093044987481537
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,8,0.0158401879160448
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,9,0.004452393631227736
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,10,-0.007462430410380527
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,11,0.019796288658433525
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,12,0.02864478120060454
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,13,0.018756763172480095
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,14,0.001670000816031969
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,15,0.006768106841619659
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,16,0.0012990606437921492
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,17,0.012522866695384494
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,18,0.026270428726806294
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,19,0.028865296059799928
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,20,0.023075848486851402
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,21,-0.013794738966025122
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,22,0.01641416539234619
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,23,0.025970389487025347
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,24,0.018735847291047936
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,25,0.005204789234971585
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,26,0.022930079006252324
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,27,0.023527464692829625
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,28,0.006236144783841269
sec_mixed_vs_yonly,secondary,test_y_ll,mixed_train_log,y_only,29,0.021328663129810188
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,0,-0.0016947346963700483
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,1,0.004636968125555363
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,2,-0.013299658637874856
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,3,0.0014648437015929439
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,4,-0.01298355890075209
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,5,0.0014566482606426234
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,6,-0.03988301083928647
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,7,0.012251897845521054
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,8,0.0028954261867615294
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,9,0.0058525395665549595
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,10,0.00765367182571719
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,11,-0.0021012362985937116
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,12,-0.020289271716702473
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,13,0.003024764230792343
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,14,0.00031563534356537915
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,15,0.0027953673456400097
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,16,-0.017978235511781016
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,17,-0.0005163838451833769
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,18,0.0028605547196525194
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,19,-0.0005750763493646005
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,20,0.005073601824411078
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,21,-0.028738365185393633
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,22,0.010262170059399445
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,23,-0.004225385574233798
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,24,0.0023560785017480157
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,25,0.021856263550376287
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,26,-0.004084295658576487
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,27,-0.0036541625397346067
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,28,-0.002230858897283916
sec_genreyear_vs_genreonly,secondary,test_y_ll,genre_year,genre_only,29,0.0008278428883818911
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,0,-0.05267312300561722
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,1,-0.16297651739704921
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,2,-0.09249776896061146
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,3,-0.06497043697151206
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,4,-0.10841441678505692
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,5,-0.1206758511874515
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,6,-0.0845669658006738
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,7,-0.09332582612991391
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,8,-0.07668046133152684
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,9,-0.12618063365747734
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,10,-0.07559903468896145
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,11,-0.13311700112496627
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,12,-0.13181982145586169
