stage,split,condition,model_seed,tag,n_uids,events_sha256,stored_sha256,corpus_sha256,test_events_sha256,item_metadata_sha256,train_uid_hash,test_uid_hash,movie_set_hash,y_train_hash,y_test_hash,x_input_hash,expected_x_provenance_hash,numerics_mode,n_movies,n_train_events,n_test_events,event_ratio,log_event_ratio,Y_train_mean,Y_test_mean,Y_train_zero_pairs,Y_test_zero_pairs,per_movie_train_events_min,per_movie_train_events_max,per_movie_test_events_min,per_movie_test_events_max,unused_uid,reference_float_max_abs_error_mean_rating_train_raw,reference_float_max_abs_error_mean_rating_train_z,reference_float_max_abs_error_year_z,reference_float_max_abs_error_log_count_train_z,ledger_valid
structural,0,,,train,471,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,de9755c12eabe7db0564e52895c37bc9e4aeac2224eb827d328dfa6b09b3d269,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,08ab85ca903e4057050c5de0b39984da9ae94dbb4fe75c5170e9011726d21e92,3e34c07a380369fc6a03fd1a45febc269c3d6422106a3b6442111643f34c3d29,bf947f06a2e239a8333f53587498fe7ddd86e7dce3d2ee249df50faa3b5dc6ed,07434749c73728f48b4fd8617f3f6c135b067a0dd1e065f7df7993bdc8cb6fae,fc2137f4b2bfcc5615b2aa08b9c47d57c686ffb1142280ff668d82cefce32f35,,,,100,49540.0,50141.0,1.0121316108195397,0.012058612626413941,22.233737373737373,21.814949494949495,1.0,0.0,37.0,99.0,32.0,112.0,399.0,0.0,0.0,0.0,0.0,
structural,0,y_only,,train,471,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,de9755c12eabe7db0564e52895c37bc9e4aeac2224eb827d328dfa6b09b3d269,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,08ab85ca903e4057050c5de0b39984da9ae94dbb4fe75c5170e9011726d21e92,3e34c07a380369fc6a03fd1a45febc269c3d6422106a3b6442111643f34c3d29,bf947f06a2e239a8333f53587498fe7ddd86e7dce3d2ee249df50faa3b5dc6ed,07434749c73728f48b4fd8617f3f6c135b067a0dd1e065f7df7993bdc8cb6fae,fc2137f4b2bfcc5615b2aa08b9c47d57c686ffb1142280ff668d82cefce32f35,6947d5925d0af410f1f3f6cbce862ad8e1a2f6eabd8c5c8f3d8cca17590c77ed,6947d5925d0af410f1f3f6cbce862ad8e1a2f6eabd8c5c8f3d8cca17590c77ed,consistent,100,49540.0,50141.0,1.0121316108195397,0.012058612626413941,22.233737373737373,21.814949494949495,1.0,0.0,37.0,99.0,32.0,112.0,399.0,0.0,0.0,0.0,0.0,
structural,0,genre_only,,train,471,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,de9755c12eabe7db0564e52895c37bc9e4aeac2224eb827d328dfa6b09b3d269,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,08ab85ca903e4057050c5de0b39984da9ae94dbb4fe75c5170e9011726d21e92,3e34c07a380369fc6a03fd1a45febc269c3d6422106a3b6442111643f34c3d29,bf947f06a2e239a8333f53587498fe7ddd86e7dce3d2ee249df50faa3b5dc6ed,07434749c73728f48b4fd8617f3f6c135b067a0dd1e065f7df7993bdc8cb6fae,fc2137f4b2bfcc5615b2aa08b9c47d57c686ffb1142280ff668d82cefce32f35,6947d5925d0af410f1f3f6cbce862ad8e1a2f6eabd8c5c8f3d8cca17590c77ed,6947d5925d0af410f1f3f6cbce862ad8e1a2f6eabd8c5c8f3d8cca17590c77ed,consistent,100,49540.0,50141.0,1.0121316108195397,0.012058612626413941,22.233737373737373,21.814949494949495,1.0,0.0,37.0,99.0,32.0,112.0,399.0,0.0,0.0,0.0,0.0,
structural,0,genre_year,,train,471,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,de9755c12eabe7db0564e52895c37bc9e4aeac2224eb827d328dfa6b09b3d269,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,08ab85ca903e4057050c5de0b39984da9ae94dbb4fe75c5170e9011726d21e92,3e34c07a380369fc6a03fd1a45febc269c3d6422106a3b6442111643f34c3d29,bf947f06a2e239a8333f53587498fe7ddd86e7dce3d2ee249df50faa3b5dc6ed,07434749c73728f48b4fd8617f3f6c135b067a0dd1e065f7df7993bdc8cb6fae,fc2137f4b2bfcc5615b2aa08b9c47d57c686ffb1142280ff668d82cefce32f35,66e2251c65ca1d5d0cc966316fdc20aca9d51dcf31bd4b39f763511f7e19b5aa,66e2251c65ca1d5d0cc966316fdc20aca9d51dcf31bd4b39f763511f7e19b5aa,consistent,100,49540.0,50141.0,1.0121316108195397,0.012058612626413941,22.233737373737373,21.814949494949495,1.0,0.0,37.0,99.0,32.0,112.0,399.0,0.0,0.0,0.0,0.0,
structural,0,genre_logcount_train,,train,471,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,de9755c12eabe7db0564e52895c37bc9e4aeac2224eb827d328dfa6b09b3d269,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,08ab85ca903e4057050c5de0b39984da9ae94dbb4fe75c5170e9011726d21e92,3e34c07a380369fc6a03fd1a45febc269c3d6422106a3b6442111643f34c3d29,bf947f06a2e239a8333f53587498fe7ddd86e7dce3d2ee249df50faa3b5dc6ed,07434749c73728f48b4fd8617f3f6c135b067a0dd1e065f7df7993bdc8cb6fae,fc2137f4b2bfcc5615b2aa08b9c47d57c686ffb1142280ff668d82cefce32f35,668ca664d7866d8d010fba62d088bf4dc107c00681d5052273ef0a7a87e08e1d,668ca664d7866d8d010fba62d088bf4dc107c00681d5052273ef0a7a87e08e1d,consistent,100,49540.0,50141.0,1.0121316108195397,0.012058612626413941,22.233737373737373,21.814949494949495,1.0,0.0,37.0,99.0,32.0,112.0,399.0,0.0,0.0,0.0,0.0,
structural,0,mixed_train_log,,train,471,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,de9755c12eabe7db0564e52895c37bc9e4aeac2224eb827d328dfa6b09b3d269,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,08ab85ca903e4057050c5de0b39984da9ae94dbb4fe75c5170e9011726d21e92,3e34c07a380369fc6a03fd1a45febc269c3d6422106a3b6442111643f34c3d29,bf947f06a2e239a8333f53587498fe7ddd86e7dce3d2ee249df50faa3b5dc6ed,07434749c73728f48b4fd8617f3f6c135b067a0dd1e065f7df7993bdc8cb6fae,fc2137f4b2bfcc5615b2aa08b9c47d57c686ffb1142280ff668d82cefce32f35,9ad392171ae43f13bc2ddc60b585226630e5a6714cb19f00cc7878bb5ac7f1f3,9ad392171ae43f13bc2ddc60b585226630e5a6714cb19f00cc7878bb5ac7f1f3,consistent,100,49540.0,50141.0,1.0121316108195397,0.012058612626413941,22.233737373737373,21.814949494949495,1.0,0.0,37.0,99.0,32.0,112.0,399.0,0.0,0.0,0.0,0.0,
structural,0,mixed_train_raw_poisson,,train,471,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,fb72d49ec054e6f43983002dcb7053f911ad53f96d777a9f77305f20473538fc,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,de9755c12eabe7db0564e52895c37bc9e4aeac2224eb827d328dfa6b09b3d269,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,08ab85ca903e4057050c5de0b39984da9ae94dbb4fe75c5170e9011726d21e92,3e34c07a380369fc6a03fd1a45febc269c3d6422106a3b6442111643f34c3d29,bf947f06a2e239a8333f53587498fe7ddd86e7dce3d2ee249df50faa3b5dc6ed,07434749c73728f48b4fd8617f3f6c135b067a0dd1e065f7df7993bdc8cb6fae,fc2137f4b2bfcc5615b2aa08b9c47d57c686ffb1142280ff668d82cefce32f35,d6b4e2e9bbec195848c0611e8cfcc31d84cad0388a696d5ae6fbd5311195f39f,d6b4e2e9bbec195848c0611e8cfcc31d84cad0388a696d5ae6fbd5311195f39f,consistent,100,49540.0,50141.0,1.0121316108195397,0.012058612626413941,22.233737373737373,21.814949494949495,1.0,0.0,37.0,99.0,32.0,112.0,399.0,0.0,0.0,0.0,0.0,
structural,1,,,train,471,1242ea43f211cf3d08eb3c391c2f597bce7ede222037202a2fb24bf35482d7b9,1242ea43f211cf3d08eb3c391c2f597bce7ede222037202a2fb24bf35482d7b9,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,2a6a7d426f55a38ed07f75944ca9a1ca16e1bd2afb80a1515d87550a999c0c40,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,9480f26c37d845ce4bad3061d6680cf8d61e7a9cc957d0c627cf7b9e12219aa0,87eeaa5c62766ce678f49af42a091975dc71b32dcc1441c206dd8f65fc306907,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167,,,,100,49029.0,50907.0,1.0383038609802362,0.03758847887976814,22.822222222222223,23.706262626262625,0.0,0.0,45.0,99.0,35.0,123.0,829.0,0.0,0.0,0.0,0.0,
structural,1,y_only,,train,471,1242ea43f211cf3d08eb3c391c2f597bce7ede222037202a2fb24bf35482d7b9,1242ea43f211cf3d08eb3c391c2f597bce7ede222037202a2fb24bf35482d7b9,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,2a6a7d426f55a38ed07f75944ca9a1ca16e1bd2afb80a1515d87550a999c0c40,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,9480f26c37d845ce4bad3061d6680cf8d61e7a9cc957d0c627cf7b9e12219aa0,87eeaa5c62766ce678f49af42a091975dc71b32dcc1441c206dd8f65fc306907,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167,818fb9cbfd471166036f456d3b1c4fab5e4450d7ebb3e5c70699d83a927ca9df,818fb9cbfd471166036f456d3b1c4fab5e4450d7ebb3e5c70699d83a927ca9df,consistent,100,49029.0,50907.0,1.0383038609802362,0.03758847887976814,22.822222222222223,23.706262626262625,0.0,0.0,45.0,99.0,35.0,123.0,829.0,0.0,0.0,0.0,0.0,
structural,1,genre_only,,train,471,1242ea43f211cf3d08eb3c391c2f597bce7ede222037202a2fb24bf35482d7b9,1242ea43f211cf3d08eb3c391c2f597bce7ede222037202a2fb24bf35482d7b9,2ae70cb9999695860387236bcf480ab4a8d8beb1dafea866c6fbebf0390ee653,2a6a7d426f55a38ed07f75944ca9a1ca16e1bd2afb80a1515d87550a999c0c40,cfc54a876370f742cda4652675513b8fb797d2e943974a527726f3805785de2a,9480f26c37d845ce4bad3061d6680cf8d61e7a9cc957d0c627cf7b9e12219aa0,87eeaa5c62766ce678f49af42a091975dc71b32dcc1441c206dd8f65fc306907,04346f68e3f92251c6e7b79eaa3280db4f642084213d865b01115ba92c282524,82dac169a303585940acbc8662ab7cf09eb791767232aba7fb363d244e838031,11e80f6848b57e47014d39158912b18afb974c36874610fb8e1584e067ef6167,818fb9cbfd471166036f456d3b1c4fab5e4450d7ebb3e5c70699d83a927ca9df,818fb9cbfd471166036f456d3b1c4fab5e4450d7ebb3e5c70699d83a927ca9df,consistent,100,49029.0,50907.0,1.0383038609802362,0.03758847887976814,22.822222222222223,23.706262626262625,0.0,0.0,45.0,99.0,35.0,123.0,829.0,0.0,0.0,0.0,0.0,
