split,n_train_events,n_test_events,event_ratio,log_event_ratio,Y_train_mean,Y_test_mean,Y_train_zero_pairs,Y_test_zero_pairs,per_movie_train_events_min,per_movie_train_events_max,per_movie_test_events_min,per_movie_test_events_max,unused_uid
0,49540,50141,1.0121316108195397,0.012058612626413941,22.233737373737373,21.814949494949495,1,0,37,99,32,112,399
1,49029,50907,1.0383038609802362,0.03758847887976814,22.822222222222223,23.706262626262625,0,0,45,99,35,123,829
2,45076,54848,1.2167894223089892,0.19621576888521167,21.697777777777777,28.777575757575757,0,0,39,99,24,137,217
3,49206,50713,1.0306263463805228,0.030166720703727088,21.974141414141414,23.169696969696968,1,0,36,99,30,113,844
4,50879,48924,0.9615755026631813,-0.03918219112555563,21.445858585858584,20.33919191919192,0,0,38,99,27,101,543
5,47812,52029,1.0881996151593742,0.08452460142082391,22.344646464646466,21.915555555555557,0,1,34,99,35,121,239
6,50348,49562,0.9843886549614682,-0.015734485357462063,22.39010101010101,21.46727272727273,0,1,33,99,27,124,605
7,49909,49986,1.001542807910397,0.0015416190049508316,23.314545454545456,22.18141414141414,1,2,37,99,35,122,223
8,50962,48883,0.9592048977669636,-0.041650569186201816,22.785454545454545,20.97858585858586,1,0,42,99,22,135,548
9,50703,49233,0.9710076326844566,-0.029420950078600183,22.375555555555554,20.79979797979798,0,1,39,99,26,114,206
10,49914,50044,1.0026044797050928,0.0026010939253479468,22.324444444444445,22.945454545454545,0,1,35,99,31,125,179
11,51618,48243,0.934615831686621,-0.06761970932726875,22.740606060606062,19.766868686868687,0,3,35,99,28,98,484
12,51572,48407,0.9386294888699295,-0.06333445818446676,25.065050505050504,22.655555555555555,0,0,47,99,39,115,876
13,51331,48628,0.9473417622878962,-0.05409536147342821,23.522828282828282,21.154747474747474,0,1,40,99,32,119,760
14,50671,49167,0.9703183280377337,-0.030131088086989326,23.33010101010101,21.257373737373737,1,1,40,99,28,122,712
15,49580,50141,1.0113150463896732,0.011251510080582955,21.95090909090909,22.165858585858587,0,7,34,99,29,107,497
16,49824,50058,1.0046965317919074,0.004685537496404579,21.674141414141413,23.43232323232323,0,0,46,99,29,108,197
17,50303,49670,0.9874162574796732,-0.01266358835502951,23.344646464646466,22.2410101010101,0,0,38,98,30,113,628
18,49343,50512,1.0236913037310256,0.023415019968583882,21.201818181818183,21.926262626262627,6,0,40,98,28,109,436
19,48986,50854,1.0381333442207978,0.03742423913353883,23.05212121212121,24.103636363636365,0,0,37,99,36,123,503
20,51075,48885,0.95712187958884,-0.043824539746051154,24.025252525252526,21.538585858585858,0,0,38,99,36,112,199
21,49205,50757,1.0315415100091454,0.03105429509382011,22.30727272727273,23.156363636363636,0,1,37,99,35,123,71
22,51061,48913,0.9579326687687276,-0.04297778660366464,23.064848484848486,20.165252525252527,0,3,41,99,26,119,742
23,48544,51401,1.0588538233355307,0.057187024358665024,21.12060606060606,24.71151515151515,0,0,35,99,29,116,793
24,49786,50084,1.005985618446953,0.005967775796985,23.382626262626264,23.487474747474746,0,0,43,99,37,117,336
25,50478,49475,0.9801299576052934,-0.02007010630810208,22.97252525252525,22.685656565656565,1,0,37,99,35,123,494
26,49577,50367,1.0159348084797386,0.015809182215488993,22.577171717171716,22.712929292929292,0,0,37,99,36,113,248
27,47466,52508,1.1062234020140733,0.10095187367384673,20.083838383838383,24.50949494949495,1,0,35,99,34,123,482
28,52589,47193,0.8973929909296621,-0.10826139589012032,23.560606060606062,20.669090909090908,0,1,35,99,26,110,535
29,49406,50565,1.023458689228029,0.023187763045742195,21.3769696969697,22.49939393939394,1,1,36,99,37,110,657
