condition,fix_w,fix_x,k,trial,seed,n,d,family_x,family_y,q_strict,bic,num_params,auc_y,ap_y,rmse_x,silhouette,w0,w,success,error_message,note
X+Y,False,False,3,0,2000,178,13,gaussian,bernoulli,-3029.209229294228,6312.325852552768,49,0.9999994596930668,0.999998945470751,0.6502957076948506,0.7724256980878597,-2.530648831235299,4.105481080990231,True,,wine_fixed_pilot ablation X+Y
X+Y,False,False,3,1,2010,178,13,gaussian,bernoulli,-3054.0841122249385,6362.075618414189,49,0.9999995317339913,0.9999990858841268,0.6580880573186982,0.780098195436429,-2.469592751964417,4.115813886168681,True,,wine_fixed_pilot ablation X+Y
X+Y,False,False,3,2,2020,178,13,gaussian,bernoulli,-3057.2449860930947,6368.3973661505015,49,1.0,1.0,0.6678434400070009,0.7780916926230795,-2.4141355341858235,4.1164641185327,True,,wine_fixed_pilot ablation X+Y
X+Y,False,False,3,3,2030,178,13,gaussian,bernoulli,-3015.580916906581,6285.069227777474,49,0.9999983790792003,0.9999968095018346,0.6740876745640751,0.7673183597300083,-2.415553918997677,4.1095557686956035,True,,wine_fixed_pilot ablation X+Y
X+Y,False,False,3,4,2040,178,13,gaussian,bernoulli,-3035.3003681304585,6324.508130225229,49,0.9999977487211115,0.9999955897542281,0.678258563668105,0.7776160824260953,-2.30042158114754,4.117583127851691,True,,wine_fixed_pilot ablation X+Y
X_only,True,False,3,0,2100,178,13,gaussian,bernoulli,-12963.402335187193,26180.7120643387,49,0.5,0.3379673712943566,0.6488943948128986,0.34705757327679004,-0.6724279866991578,0.0,True,,wine_fixed_pilot ablation X_only
X_only,True,False,3,1,2110,178,13,gaussian,bernoulli,-12951.81036767398,26157.52812931227,49,0.5,0.3379673712943566,0.639626023352489,0.29593022665764035,-0.6724279866991578,0.0,True,,wine_fixed_pilot ablation X_only
X_only,True,False,3,2,2120,178,13,gaussian,bernoulli,-12989.725637472233,26233.35866890878,49,0.5,0.3379673712943566,0.6710370314213053,0.2782558339625229,-0.6724279866991578,0.0,True,,wine_fixed_pilot ablation X_only
X_only,True,False,3,3,2130,178,13,gaussian,bernoulli,-12987.945300825797,26229.797995615907,49,0.5,0.3379673712943566,0.6666749368867315,0.2919869915094149,-0.6724279866991578,0.0,True,,wine_fixed_pilot ablation X_only
X_only,True,False,3,4,2140,178,13,gaussian,bernoulli,-13022.00516709414,26297.91772815259,49,0.5,0.3379673712943566,0.6697415076169261,0.17964499962032893,-0.6724279866991578,0.0,True,,wine_fixed_pilot ablation X_only
Y_only,False,True,3,0,2200,178,13,gaussian,bernoulli,-4425.408409184374,9104.724212333062,49,0.9997651285761207,0.9996247528971398,1.0,0.7588229759043624,-2.282584189833751,4.151729109846973,True,,wine_fixed_pilot ablation Y_only
Y_only,False,True,3,1,2210,178,13,gaussian,bernoulli,-4403.526585857937,9060.960565680187,49,0.9998737482799328,0.9997524339424904,1.0,0.7566995904816615,-2.278645535718723,4.151684479141984,True,,wine_fixed_pilot ablation Y_only
Y_only,False,True,3,2,2220,178,13,gaussian,bernoulli,-4408.297197339392,9070.501788643098,49,0.9992220120468274,0.9989566693158429,1.0,0.7679445609339145,-2.443039726444794,4.1412626700302715,True,,wine_fixed_pilot ablation Y_only
Y_only,False,True,3,3,2230,178,13,gaussian,bernoulli,-4379.576525660161,9013.060445284635,49,0.9999199445227249,0.9998407123227737,1.0,0.753706785823872,-2.208704144284472,4.152152437588782,True,,wine_fixed_pilot ablation Y_only
Y_only,False,True,3,4,2240,178,13,gaussian,bernoulli,-4323.746991563814,8901.401377091941,49,0.9999098407830733,0.9998181521316907,1.0,0.7699069853566826,-2.327056925945917,4.150351389489686,True,,wine_fixed_pilot ablation Y_only
