k,trial,seed,n,d,family_x,family_y,q_strict,bic,num_params,auc_y,ap_y,rmse_x,w0,w,success,error_message,note
1,0,1100,178,13,gaussian,bernoulli,-6642.804122755112,13420.334617817818,26,0.9381587016899865,0.9172628287264118,0.9021655961998166,-1.4715173474724053,4.2615284806892415,True,,wine_fixed_pilot BIC
1,1,1110,178,13,gaussian,bernoulli,-6635.547429985711,13405.821232279015,26,0.9398783905971033,0.9186936463014291,0.90385699531106,-1.4752909026770122,4.253958011384511,True,,wine_fixed_pilot BIC
1,2,1120,178,13,gaussian,bernoulli,-6647.750985856912,13430.228344021418,26,0.9380307570081949,0.9171796057253447,0.9020420492490918,-1.46624296579724,4.260924172362854,True,,wine_fixed_pilot BIC
1,3,1130,178,13,gaussian,bernoulli,-6624.499092478567,13383.724557264728,26,0.938387251522747,0.9174091027013034,0.9045741602445587,-1.4873426511380985,4.259214732280582,True,,wine_fixed_pilot BIC
1,4,1140,178,13,gaussian,bernoulli,-6639.473596588604,13413.673565484802,26,0.9402706354204046,0.9189789394800366,0.902081051200223,-1.4668127951548775,4.254922067271649,True,,wine_fixed_pilot BIC
2,0,1200,178,13,gaussian,bernoulli,-3120.022958779345,6436.9536924697895,38,1.0,1.0,0.7193345811646775,-1.9676420069443776,4.204910167415936,True,,wine_fixed_pilot BIC
2,1,1210,178,13,gaussian,bernoulli,-3123.235137575787,6443.3780500626735,38,1.0,1.0,0.7208234007436514,-1.9437117234685473,4.209421691030089,True,,wine_fixed_pilot BIC
2,2,1220,178,13,gaussian,bernoulli,-3117.294236150837,6431.496247212774,38,1.0,1.0,0.7208626585962934,-1.9432978594685693,4.2050292511948415,True,,wine_fixed_pilot BIC
2,3,1230,178,13,gaussian,bernoulli,-3102.2082247005374,6401.324224312174,38,1.0,1.0,0.7216906157402332,-2.013479065800877,4.207850536453507,True,,wine_fixed_pilot BIC
2,4,1240,178,13,gaussian,bernoulli,-3102.999861190802,6402.907497292704,38,1.0,1.0,0.7199351899209009,-1.9363410845598703,4.208057888501288,True,,wine_fixed_pilot BIC
3,0,1300,178,13,gaussian,bernoulli,-3024.2325744013224,6302.372542766957,49,0.9999998919386134,0.999999788362023,0.6743841107192721,-2.3306893440364096,4.115155001588721,True,,wine_fixed_pilot BIC
3,1,1310,178,13,gaussian,bernoulli,-3064.306488423231,6382.520370810774,49,0.999996974281174,0.9999940649291311,0.6767929789704278,-2.268250225864545,4.111948826696683,True,,wine_fixed_pilot BIC
3,2,1320,178,13,gaussian,bernoulli,-3043.6318863144015,6341.171166593115,49,0.9999971363732538,0.9999943337232976,0.6728881975398195,-2.326257692450743,4.115395265662316,True,,wine_fixed_pilot BIC
3,3,1330,178,13,gaussian,bernoulli,-3014.235910686469,6282.379215337251,49,1.0,1.0,0.6721646886853039,-2.3697457633517267,4.115152150528844,True,,wine_fixed_pilot BIC
3,4,1340,178,13,gaussian,bernoulli,-3030.7552699271555,6315.417933818623,49,0.9999998559181511,0.9999997178623843,0.6744309947040846,-2.3228410175710814,4.120022326683536,True,,wine_fixed_pilot BIC
4,0,1400,178,13,gaussian,bernoulli,-3174.243909413366,6654.213048293965,59,0.9999505439053773,0.9998937468437241,0.6463402078906821,-2.838077345944002,4.035815402671959,True,,wine_fixed_pilot BIC
