sample_id,label,class_name,z_pc1,z_pc2,mode,k,pca_used,note,z_1,z_2,z_3
0,0,class_0,1.8379644838080975,-1.3679877144154005,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.0736548543938518,-0.9336731790914556,2.1230720332412116
1,0,class_0,1.3060029196997318,-1.284180735251378,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.06742813021358728,0.26452992733481406,1.8967078460997255
2,0,class_0,1.0066310123107656,-0.7555110541359272,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.05578339002670207,-0.8139278556004732,1.1015702073612124
3,0,class_0,1.7129854543665843,-1.0573304632684475,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.22565644963576517,-0.8210194591598684,1.8359996591299332
4,0,class_0,1.1284268890570324,-0.7549076181139747,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.15923107526697886,0.06415286319106497,1.3592295282669755
5,0,class_0,1.9642783132200548,-1.6201904721066063,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.02910655162804626,-0.6060329587835475,2.454496872537538
6,0,class_0,1.510428551842283,-1.1010110001115216,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.176753929968866,0.0411447322596047,1.8795464053132187
7,0,class_0,1.4930653336430564,-0.664835380631463,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.456070330509809,-0.11574899806038945,1.5343217475623294
8,0,class_0,0.8332488900342307,-1.0770642927780325,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.34665629441216006,-0.3776123300561294,1.2783770380280124
9,0,class_0,1.2310908786529475,-1.2074514143948512,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.15792355332247288,-0.3702891013541232,1.666728949134878
10,0,class_0,1.8503018706815184,-1.4927591853514968,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.12651781899442047,-0.016168544045477434,2.3935685649248546
11,0,class_0,1.1123402686250976,-1.0070073268979458,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.03601850010371552,0.05005098336045157,1.519326710097602
12,0,class_0,1.0876867467839497,-0.9013215120020547,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.014866229736053702,-0.2072371628551504,1.3786623434106962
13,0,class_0,1.798791243412038,-1.2169565728896314,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.19787296304340282,-0.6392043115292755,2.0452654526875
14,0,class_0,2.382468490341743,-1.4337229631392958,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.493478555192251,-0.3747377942318475,2.6810185572166296
15,0,class_0,1.4378493388418627,-0.8161937664876009,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.2556023927646013,-0.47303957802091195,1.5300264168901865
16,0,class_0,1.7263171629188798,-0.968458918944095,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.3337961261105029,-0.584216704824707,1.8294393050739575
17,0,class_0,1.092785820555726,-1.0789852512010718,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.1784646633932583,-0.4746717270341268,1.4546833601366473
18,0,class_0,2.3224919763501544,-1.5015764442066737,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.35628067315988804,-0.6880893211328623,2.623653542658669
19,0,class_0,1.1850406305836643,-0.8049939679383139,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.08614438698357045,-0.46301722037859533,1.3357207979903791
20,0,class_0,0.8541484809506157,-0.732225115695727,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.15142430548960895,-0.8445036921736538,0.9659368075492467
21,0,class_0,0.7357555032224868,-0.6389529012170049,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.07505644091248856,-0.20868319820725295,0.9341533634513353
22,0,class_0,1.0294449656195,-0.6758857722952416,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.06578187880307496,-0.4855861326167106,1.1259279716833137
23,0,class_0,0.8171190676735988,-0.9231240923743531,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.17308956106090287,0.12850479247015406,1.2560530684865552
24,0,class_0,0.8561974532602401,-0.8437539548774168,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.11626292932303539,-0.06360510861194364,1.1935577203513108
25,0,class_0,0.6403363371872193,-0.7922449873343185,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.23917613336309784,-0.11299682834470816,0.9875290879255324
26,0,class_0,0.8664827590877258,-0.7802792036276895,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.09235924766460427,-0.263059277049117,1.1192199596237264
27,0,class_0,1.543726632956414,-1.2314275527806782,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.17634004050449792,0.5204589294858104,2.0860992774517833
28,0,class_0,0.7917492885514981,-1.3055644156123813,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.5505836275982608,-0.44441442138387216,1.3931294282469249
29,0,class_0,1.7253226936431418,-1.1695424067918156,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.3248103246091681,0.3512280200932202,2.1463212200765454
30,0,class_0,1.1438078137033452,-0.9784505325100131,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,-0.09687545850424491,-0.6596428392082703,1.3877782076354754
31,0,class_0,1.5996352874926036,-1.095014214739118,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.2073205658568647,-0.21145127342606873,1.8937627019862482
32,0,class_0,1.5097757824497047,-1.1355016163431002,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.17168142795518887,0.1797721263860365,1.9293820282412135
33,0,class_0,1.3476350651714462,-1.1375191411111962,X+Y,3,True,wine_fixed_pilot X+Y best AUC trial,0.005559771487960426,-0.16138294221998353,1.744921426723511
