source,implementation,dataset,condition,n_trials,rmse_Z_mean,rmse_Z_std,rmse_X_mean,auc_y,ap_y
old05_manuscript_exp4,old_0.5,synthetic_scen_A,proposed_XY,10,0.2786599020989476,0.010480878105778909,1.2022684467337044,,
old05_manuscript_exp4,old_0.5,synthetic_scen_A,y_only_fix_x,10,0.3476846262439922,0.015317316512468222,2.210254858858461,,
old05_manuscript_exp4,old_0.5,synthetic_scen_A,x_only_fix_w,10,0.5980748526570479,0.09126410880860614,1.2264344258100501,,
old05_manuscript_exp4,old_0.5,synthetic_scen_B,proposed_XY,10,0.17751829899162516,0.05519289740013601,0.3076296167739805,,
old05_manuscript_exp4,old_0.5,synthetic_scen_B,y_only_fix_x,10,0.23269049666706568,0.00822108004630227,1.0,,
old05_manuscript_exp4,old_0.5,synthetic_scen_B,x_only_fix_w,10,0.2523903343238002,0.02553900448140661,0.31139074376087944,,
old05_manuscript_exp4,old_0.5,synthetic_scen_C,proposed_XY,10,0.02872314578386056,0.00140373647351748,0.45622076835932157,,
old05_manuscript_exp4,old_0.5,synthetic_scen_C,y_only_fix_x,10,0.028613772615829546,0.001262345699479078,0.5,,
old05_manuscript_exp4,old_0.5,synthetic_scen_C,x_only_fix_w,10,1.1024041666117066,0.0528125199838729,0.456442853721152,,
fixed_official_exp4,fixed,synthetic_scen_A,proposed_XY,10,0.2319846634550504,0.007304146722908,1.212585356779731,,
fixed_official_exp4,fixed,synthetic_scen_A,y_only_fix_x,10,0.2771247059752691,0.0128540533132089,2.210254858858461,,
fixed_official_exp4,fixed,synthetic_scen_A,x_only_fix_w,10,0.5980748526570479,0.0912641088086061,1.22643442581005,,
fixed_official_exp4,fixed,synthetic_scen_B,proposed_XY,10,0.1398629154943076,0.0045824793486048,0.3107382227159338,,
fixed_official_exp4,fixed,synthetic_scen_B,y_only_fix_x,10,0.1897914316459517,0.0075705850457947,1.0,,
fixed_official_exp4,fixed,synthetic_scen_B,x_only_fix_w,10,0.2523903343238002,0.0255390044814065,0.3113907437608795,,
fixed_official_exp4,fixed,synthetic_scen_C,proposed_XY,30,0.0231431994960484,0.0009771380280437,0.4542761203308101,,
fixed_official_exp4,fixed,synthetic_scen_C,y_only_fix_x,30,0.0231519515813445,0.0009343086702508,0.5,,
fixed_official_exp4,fixed,synthetic_scen_C,x_only_fix_w,30,1.0845749135358809,0.05439493157667,0.4555965607682631,,
wine_fixed_pilot,fixed,wine_real,proposed_XY,5,,,0.665714688650546,0.9999990238454739,0.999998086122188
wine_fixed_pilot,fixed,wine_real,x_only_fix_w,5,,,0.6591947788180701,0.5,0.3379673712943566
wine_fixed_pilot,fixed,wine_real,y_only_fix_x,5,,,1.0,0.9997381348417358,0.9995985441219875
