condition,k,split_trial,model_trial,model_seed,family_y,w0,w,bic_train,rmse_x,x_binary_acc,nmi_genre,ari_genre,nan_occurred,runtime_s,test_n_pairs,test_rmse,test_mae,test_pearson,test_spearman,test_mean_ll,test_pearson_dispersion,test_hc_density,test_hc_auc,test_hc_ap,train_n_pairs,train_rmse,train_mae,train_pearson,train_spearman,train_mean_ll,train_pearson_dispersion,train_hc_density,train_hc_auc,train_hc_ap
proposed_XY,5,0,0,61500,poisson,3.306602910262749,0.20822963211492257,27754.647985978474,0.3185784850642483,0.8521052631578947,0.3642238764551529,0.1241124622342505,False,10.55,990,6.313175274501846,4.772848492657367,0.9561947431443618,0.9574578312384844,-3.2219656225790283,0.8902963042816953,0.06767676767676768,0.9861095389789946,0.8551823611929865,3960,5.432773281507683,4.1626085408109645,0.9661663360987174,0.9673096610230177,-3.121925465817793,0.6849645398501655,0.06893939393939394,0.989981630339645,0.9002087940089684
y_only_fix_x,5,0,0,61500,poisson,3.3736193990657144,0.19845394286718482,29415.68119312213,0.5,0.8689473684210526,0.33456073468859127,0.10048375125778261,False,10.55,990,6.795381303704098,4.959163100339387,0.9489860430374469,0.9489731763291128,-3.2911816542959476,1.0045577438275681,0.06767676767676768,0.9856567649294158,0.8591915804629997,3960,5.600277546961665,4.276929293697194,0.9640217134932927,0.9643454987338189,-3.1519546899493123,0.7395834521233822,0.06893939393939394,0.9899587800320103,0.8991756084717099
x_only_fix_w,5,0,0,61500,poisson,3.8120732826618187,0.0,63205.55962903374,0.27163436348785025,0.9010526315789473,0.4273427620610866,0.17869996488764045,False,9.9,990,21.545894226721714,17.57502429675941,,,-7.876464054135828,10.260455842919152,0.06767676767676768,0.5,0.06767676767676768,3960,21.04428381734679,17.07545334973081,,,-7.634206384534099,9.788269301145846,0.06893939393939394,0.5,0.06893939393939394
proposed_XY,5,0,1,61501,poisson,3.1849569325889893,0.22945775436198548,27415.40032324924,0.3090117835860586,0.8610526315789474,0.2927360813464133,0.08237933173128663,False,10.81,990,6.228116459821642,4.705895843751917,0.957367663466473,0.9595151404439275,-3.1952787949293615,0.8385376799258426,0.06767676767676768,0.9857699584418105,0.8616449456269638,3960,5.3360083567005665,4.112221335638918,0.967390082182573,0.9692246598281464,-3.092799171036359,0.6363413354203775,0.06893939393939394,0.9903869749272516,0.90143169895243
y_only_fix_x,5,0,1,61501,poisson,3.127307814823961,0.24080214184802204,28827.527691735493,0.5,0.8689473684210526,0.3069687208526065,0.09542989636813237,False,11.73,990,6.276990068495773,4.762212891187183,0.9566533283856826,0.9585471553675826,-3.2061965825884164,0.8639668151986001,0.06767676767676768,0.9844116362930742,0.8425234259142905,3960,5.254026862874958,4.05473317107734,0.9683772559549622,0.9701931966181817,-3.082844490994758,0.6211865039016284,0.06893939393939394,0.9904863240908806,0.9005181449020612
x_only_fix_w,5,0,1,61501,poisson,3.8120732826618187,0.0,63206.6482920595,0.27355235301692965,0.8963157894736842,0.36727980309419894,0.11322635336503437,False,11.82,990,21.545894226721714,17.57502429675941,,,-7.876464054135828,10.260455842919152,0.06767676767676768,0.5,0.06767676767676768,3960,21.04428381734679,17.07545334973081,,,-7.634206384534099,9.788269301145846,0.06893939393939394,0.5,0.06893939393939394
proposed_XY,5,1,0,61510,poisson,3.190274826369015,0.22975812069560317,27664.559186650047,0.30979511958933903,0.8594736842105263,0.2838034579675865,0.10483864388527359,False,11.36,990,6.047598173669992,4.68228678794113,0.9613116641498554,0.9654462939945971,-3.183659658161915,0.8325297610570555,0.0696969696969697,0.9821082943870085,0.8373398128288527,3960,5.451860554363728,4.152870216550132,0.9669632354445618,0.9692601207050289,-3.111407826391053,0.6879753218380978,0.06843434343434343,0.9901742389611481,0.8966957776571786
y_only_fix_x,5,1,0,61510,poisson,3.097121517612026,0.25369550627507675,30255.82312232368,0.5,0.8689473684210526,0.3168404143429299,0.10016939034966137,False,10.59,990,7.036921267642783,5.425406250025337,0.9567192373387773,0.9635006280052215,-3.364153366945788,1.269219101759107,0.0696969696969697,0.9788037577302553,0.7980236134053542,3960,6.171819366328444,4.838065304219826,0.9655402387659422,0.9678280289495327,-3.240707854285289,1.0067655300393203,0.06843434343434343,0.9912215332508434,0.9133651986853041
x_only_fix_w,5,1,0,61510,poisson,3.8096979956596733,0.0,63160.929917053276,0.27325972537017784,0.9,0.3862054915063572,0.14733284382037287,False,10.4,990,21.570658653758635,17.62217589924727,,,-7.876797773679726,10.308512348167001,0.0696969696969697,0.5,0.0696969696969697,3960,21.038133994922045,17.047781253424745,,,-7.63421307862471,9.805813217832695,0.06843434343434343,0.5,0.06843434343434343
proposed_XY,5,1,1,61511,poisson,3.3759582337738756,0.1962892181136276,28164.705398684207,0.3277026073997239,0.8489473684210527,0.32933458420564193,0.12029887486501864,False,10.7,990,6.91071266661295,5.2429766101368775,0.94819562053531,0.9516383599661772,-3.332002448743921,1.072608803263517,0.0696969696969697,0.9792286267289807,0.8034589577847054,3960,5.67230176725366,4.336265408511667,0.9630619897034931,0.9629246196486091,-3.165885851750277,0.7606410303641437,0.06843434343434343,0.9908394258786719,0.9069929447160817
