condition,y_obs_rate,n_trials,n_train_pairs_mean,rmse_Z_mean,rmse_Z_std,rmse_z_dim1_mean,rmse_z_dim2_mean,rmse_z_dim3_mean,test_y_ll_mean,test_y_ll_std,test_y_rmse_mean,train_y_ll_mean,w0_err_mean,w_err_mean,runtime_s_mean,n_nan,n_retry,n_qbic_failed
all_gaussian,0.1,10,253.0,0.7875859853579799,0.06001222621768756,1.0597063553137303,0.2924479841208375,0.7901367379545979,-2.4174058576244226,0.1360042544484913,3.162493050578374,-2.11640128061564,0.1055975207972224,0.047410629332877666,6.671000000000001,0,0,0
all_gaussian,1.0,10,2528.0,0.2831552140228702,0.05111205306754584,0.31422144522050105,0.1975285078819296,0.3165365966952622,-2.0840689250694897,0.04134251267583801,2.2895179823043676,-1.9850764533273488,0.01122109742764441,0.007587108192205478,6.728,0,0,0
per_column_all,0.1,10,253.0,0.6696109057628241,0.1316461295020881,0.9205686196540114,0.29143470491131024,0.6186546282119333,-2.3974716256731936,0.1354317540178989,2.9245624433624977,-1.9866586745942105,0.033198528989869545,0.032331953129188205,11.346,0,0,0
per_column_all,1.0,10,2528.0,0.26092227187543976,0.011631398928236508,0.29583809104762526,0.19411621104160162,0.27938729009537944,-2.069849071098312,0.026105552003321146,2.24329997160032,-1.9761390671369594,0.009566013015698793,0.004573537933799438,11.774000000000001,0,0,0
single_bernoulli,0.1,10,253.0,1.091373884338079,0.02790128516970354,0.9622136214468553,1.122203533098387,1.1681958155634486,-2.8652756192782762,0.12642675979077148,3.6609688265884492,-1.9805967796129154,0.047017350752291874,0.02602868786688519,7.796000000000001,0,0,0
single_bernoulli,1.0,10,2528.0,0.3139384878154116,0.02183935193354085,0.3109531271687357,0.31665264269528665,0.3113992549766602,-2.107973476488928,0.039013924513051225,2.3567777487687827,-1.9757145748687062,0.01048430147301671,0.004280901804914139,7.853999999999999,0,0,0
single_gaussian,0.1,10,253.0,0.8725893397140869,0.06961643241886704,1.0365295110794426,0.2819722903203795,1.0354171662606126,-2.574553078301404,0.12374391932141876,3.261067380733369,-1.9525861664885724,0.03283895267460009,0.022658287966695258,6.632,0,0,0
single_gaussian,1.0,10,2528.0,0.26957580765857525,0.014583582636578881,0.30166126770723967,0.18929375271755494,0.29982396155153823,-2.084336610197133,0.03190303608014582,2.3147978150223154,-1.9762372895977525,0.01084959973872741,0.004497781556648794,6.5969999999999995,0,0,0
single_poisson,0.1,10,253.0,1.058480522872944,0.06324422389796511,1.1976052986439305,1.2065436326920593,0.677349889657424,-2.8211317901055106,0.12754969039526542,3.6323719121725375,-1.9901351986712932,0.035288682085692205,0.02358650804219182,7.651999999999999,0,0,0
single_poisson,1.0,10,2528.0,0.30994489242471307,0.014218961772984914,0.31681979113986464,0.3189582459741998,0.2908340505704188,-2.1056325548895716,0.03258712534566231,2.3667435487535533,-1.9760460299585751,0.010117629631438186,0.004154145560741162,7.720000000000001,0,0,0
y_only,0.1,10,253.0,1.1818557051975036,0.045626365776703495,1.172832832407295,1.1637624151902535,1.1988734238186316,-3.0573640492750216,0.2587490541831653,3.8586143130292654,-1.964551320724733,0.03449449916219387,0.02338320433331806,6.601999999999999,0,0,0
y_only,1.0,10,2528.0,0.31188025065567737,0.021802249959743704,0.3059747046711042,0.3175699510968636,0.3097799311798617,-2.111196596355017,0.046954616605232244,2.4690509689834688,-1.975358286701433,0.010778659214974695,0.0046948461938791704,6.632,0,0,0
