y_obs_rate,comparator,contrast_label,is_primary_contrast,n_trials,delta_rmse_mean,delta_rmse_std,delta_rmse_median,n_favoring_per_column_rmse,delta_test_ll_mean,delta_test_ll_std,delta_test_ll_median,n_favoring_per_column_ll,delta_rmse_dim1_mean,n_favoring_per_column_dim1,delta_rmse_dim2_mean,n_favoring_per_column_dim2,delta_rmse_dim3_mean,n_favoring_per_column_dim3
1.0,y_only,joint_vs_y_only,False,10,0.05095797878023758,0.015716798713815715,0.0485078609911945,10,0.041347525256704466,0.02867061406282497,0.032711243751968766,10,0.010136613623478993,5,0.12345374005526197,10,0.03039264108448228,9
1.0,single_bernoulli,joint_vs_single_block (bernoulli; column-count differs),False,10,0.053016215939971835,0.013182125878735945,0.05134376879018962,10,0.03812440539061548,0.02425015156510232,0.036458074099873006,9,0.015115036121110459,6,0.12253643165368507,10,0.032011964881280816,9
1.0,single_gaussian,joint_vs_single_block (gaussian; column-count differs),False,10,0.008653535783135486,0.01661062616957117,0.013032597111278382,9,0.014487539098820435,0.02067904612133884,0.01596570213656512,7,0.005823176659614409,5,-0.004822458324046683,4,0.02043667145615883,7
1.0,single_poisson,joint_vs_single_block (poisson; column-count differs),False,10,0.04902262054927327,0.008449396891482738,0.04698215543886142,10,0.03578348379125895,0.017424933895335108,0.036613320730293664,10,0.020981700092239403,8,0.12484203493259818,10,0.011446760475039364,7
1.0,all_gaussian,same_column_misspecification_contrast_family_spec_and_mstep_optimizer_path_confounded,False,10,0.0222329421474304,0.050046864893306356,0.007920082660727079,8,0.014219853971177176,0.025164921019876742,0.014375201447350605,8,0.018383354172875788,6,0.0034122968403279773,5,0.037149306599882775,6
0.1,y_only,joint_vs_y_only,True,10,0.5122447994346795,0.14381581443233288,0.5687822405558046,10,0.6598924236018281,0.2447488739687709,0.5783131113289799,10,0.2522642127532835,8,0.8723277102789435,10,0.5802187956066983,10
0.1,single_bernoulli,joint_vs_single_block (bernoulli; column-count differs),True,10,0.4217629785752549,0.14325929926068412,0.4208015535222588,10,0.4678039936050826,0.1370211108725909,0.4697927063535785,10,0.04164500179284379,6,0.8307688281870769,10,0.5495411873515152,10
0.1,single_gaussian,joint_vs_single_block (gaussian; column-count differs),True,10,0.20297843395126267,0.12233934100586578,0.21375113863740675,9,0.17708145262821046,0.09456807146356955,0.18133419095071135,10,0.11596089142543124,8,-0.009462414590930765,5,0.41676253804867913,10
0.1,single_poisson,joint_vs_single_block (poisson; column-count differs),True,10,0.38886961711011997,0.14589513691919365,0.4303105913070131,10,0.4236601644323172,0.16358752532886797,0.4068003269319611,10,0.2770366789899191,8,0.9151089277807489,10,0.05869526144549073,7
0.1,all_gaussian,same_column_misspecification_contrast_family_spec_and_mstep_optimizer_path_confounded,False,10,0.11797507959515578,0.09063604618859637,0.13635808163657187,8,0.019934231951228742,0.11504886656691532,-0.015351649120268762,5,0.13913773565971904,8,0.001013279209527218,5,0.1714821097426646,10
