regime,condition,y_obs_rate,n_trials,n_train_pairs_mean,rmse_Z_mean,rmse_Z_std,rmse_z_dim1_mean,rmse_z_dim2_mean,rmse_z_dim3_mean,test_y_ll_mean,test_y_ll_std,test_y_rmse_mean,train_y_ll_mean,w0_err_mean,w_err_mean,runtime_s_mean,n_nan,n_retry,n_qbic_failed
complementary,per_column_all,0.1,10,253.0,0.6219246986294538,0.08114494998608099,0.8232325323462074,0.2766833970543791,0.6336091358370702,-2.3767969779386324,0.14461950296488565,3.2101231385874742,-1.9881750391772346,0.034570372984567645,0.030317276035753758,10.651,0,0,0
complementary,per_column_all,1.0,10,2528.0,0.2617472895004379,0.016974495887864132,0.3017331829961038,0.19016215928992738,0.278043599213177,-2.0809565466815707,0.052807562605877524,2.433826805380565,-1.9767583755347213,0.009313815507285028,0.0034063124798282773,10.595,0,0,0
complementary,single_bernoulli,0.1,10,253.0,1.1124609915089052,0.07351297930805968,0.9058753642797976,1.2340521573921948,1.1584057849622664,-2.916492429891041,0.17725785955929166,3.9607111076729646,-1.996260064602157,0.02645498754454596,0.02947168937219119,7.353,0,0,0
complementary,single_bernoulli,1.0,10,2528.0,0.30351806367753786,0.010225735120495762,0.31031863953717254,0.30030632415744374,0.29763518080783863,-2.0981511520116136,0.05764298107642637,2.4299223582301486,-1.977190734843076,0.008644114177874673,0.003035261206859696,7.322,0,0,0
complementary,single_gaussian,0.1,10,253.0,0.8499153176506882,0.097538322570465,1.0132259797161025,0.3180315425904528,1.0071104986312838,-2.5613893827959275,0.16024030830882638,3.4831878979134387,-1.9819487406924368,0.03295323408679927,0.02892732390350249,6.308999999999999,0,0,0
complementary,single_gaussian,1.0,10,2528.0,0.2672011614744376,0.017790456728373986,0.3034035176668777,0.1919591109931192,0.2908600183972745,-2.084474943204041,0.0851291584199086,2.538312437766865,-1.9779467403558513,0.008020865816483314,0.0031087756197740956,6.232,0,0,0
complementary,single_poisson,0.1,10,253.0,1.0490539812332489,0.06820265064248715,1.1519299284574172,1.1930516358522043,0.7229141881434775,-2.9128733611437894,0.4195579389731981,3.947024056264007,-1.9660412701337535,0.03255456560153262,0.02633649060572909,7.206,0,0,0
complementary,single_poisson,1.0,10,2528.0,0.2970802063194349,0.013505770741451654,0.30209203365147774,0.30067772774814683,0.2865017440992301,-2.097395050577519,0.059622779736640825,2.393829006278655,-1.9784632920377745,0.008292285211719786,0.003214200426588115,7.228999999999999,0,0,0
full_coverage,per_column_all,0.1,10,253.0,0.42075108173995523,0.0276536292071631,0.43270261100343854,0.4026672822888352,0.4219318768534902,-2.215818029653103,0.1028880986496976,2.8134402688484763,-1.9596116072711187,0.03824431972739075,0.017104544020910866,10.696000000000002,0,0,0
full_coverage,per_column_all,1.0,10,2528.0,0.2434675857619472,0.012617131293730752,0.24469217591782058,0.2380972564597869,0.2458564956485243,-2.0709998759953656,0.07322920600103336,2.4388508692149453,-1.9776753917566812,0.008961974471905387,0.0030844333373637512,10.638,0,0,0
full_coverage,single_bernoulli,0.1,10,253.0,1.115340438887864,0.0646356236413753,1.1194135227494644,1.1311223438173676,1.0813491849361792,-2.9260398511909296,0.1662488798017125,3.992224627126442,-2.004271068049124,0.040840811181055425,0.03111709717295059,7.383,0,0,0
full_coverage,single_bernoulli,1.0,10,2528.0,0.31041388551983967,0.012209583555559192,0.31413114563354216,0.3050494219231691,0.30995181061333216,-2.105432350712934,0.06141416380495283,2.4087411941193526,-1.9774185184983222,0.00840743553330805,0.00318142022419885,7.361,0,0,0
full_coverage,single_gaussian,0.1,10,253.0,0.5348639661863853,0.0559804035435568,0.5457986137831137,0.5108332918299511,0.5379709064903645,-2.3048805789476363,0.08579406473030197,3.018040333754702,-1.9467282067180622,0.028809806233249337,0.01579047615914151,6.275,0,0,0
full_coverage,single_gaussian,1.0,10,2528.0,0.2431001669235732,0.013992663357687611,0.2585703014643057,0.2317770215033991,0.23672909293372796,-2.0628318588635692,0.06319031500029898,2.3488671256309965,-1.9786769513940243,0.008305827231119922,0.003672983722939066,6.214,0,0,0
full_coverage,single_poisson,0.1,10,253.0,0.8525146381264068,0.06354496608742696,0.8318904375286442,0.8775774699647855,0.8359479974484072,-2.6809805673782274,0.16349269998756163,3.6523201475730156,-1.9782830234221787,0.026091350846046767,0.029748943540642232,7.215000000000001,0,0,0
full_coverage,single_poisson,1.0,10,2528.0,0.29489213976764683,0.018723095318766866,0.2940380011099806,0.29561740962321925,0.2933851031113276,-2.0854641625200467,0.04808243456435272,2.3407077825700506,-1.978467603765603,0.008466150893824876,0.003492762851908737,7.218000000000001,0,0,0
shared,y_only,0.1,10,253.0,1.173943747627894,0.0501752687905471,1.1602982130085537,1.1872135696009825,1.1679263509300128,-3.0159645817261116,0.258634154213904,4.136186062821521,-1.9909288817887543,0.031009641075015425,0.024727199201403895,6.236,0,0,0
shared,y_only,1.0,10,2528.0,0.30520631754775557,0.015398716319465777,0.30331299122411615,0.3070850863769296,0.30385638757964867,-2.1017648441539474,0.05783686026762765,2.4190896011670797,-1.9774829907062255,0.008991418011743413,0.0031958043367492084,6.206,0,0,0
