trial,regime,block,family,source_dim,true_c_mean,eig1,eig2,eig3,trace,lambda_min,lambda_max,coverage_index,effective_rank,f_norm_mean,eta_min,eta_max,x_mean,x_var,hash_Z,hash_Y,hash_eta_y,hash_F,hash_U_bern,hash_E_gauss,hash_E_gauss_regime,gaussian_common_noise_source_equal,gaussian_common_noise_hash_equal,hash_U_pois,spawn_order,spawn_index,poisson_sampling,z_corr_12,z_corr_13,z_corr_23
0,complementary,bern,bernoulli,1,0.20716696418137656,0.6055384262330902,0.015417589926061698,0.0005448763849776864,0.6215008925441295,0.0005448763849776864,0.6055384262330902,0.0008767105430005437,1.0527331566626315,1.0,-2.7716463698028098,2.7969711099188275,0.5,0.25,7fbd0202d03a6693,49d627a52f71500e,66218e7f97a8ddc2,8209608f29c2b77f,70969c8f1da0953e,f1e4975fb55b4311,f1e4975fb55b4311,True,True,07c29c2f75dad917,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.049195069058150805,0.18870937397794232,0.1350487760187218
0,full_coverage,bern,bernoulli,1,0.20850082643762655,0.28651247075046915,0.1916314091791669,0.14735859938324336,0.6255024793128794,0.14735859938324336,0.28651247075046915,0.23558435698787034,2.7841952462709907,1.0,-2.4904133928042937,2.9120506227544505,0.4666666666666667,0.24888888888888888,7fbd0202d03a6693,49d627a52f71500e,66218e7f97a8ddc2,7d8272b268c647a6,70969c8f1da0953e,f1e4975fb55b4311,f1e4975fb55b4311,True,True,07c29c2f75dad917,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.049195069058150805,0.18870937397794232,0.1350487760187218
0,complementary,gauss,gaussian,2,11.111111111111109,31.867781520419477,1.4652708798122323,0.0002809331016251032,33.333333333333336,0.0002809331016251032,31.867781520419477,8.427993048753096e-06,1.0917837890819844,0.9999999999999999,-2.5070167635349687,2.1949867925987796,0.004789618874903279,1.1303924816387754,7fbd0202d03a6693,49d627a52f71500e,66218e7f97a8ddc2,8209608f29c2b77f,70969c8f1da0953e,f1e4975fb55b4311,f1e4975fb55b4311,True,True,07c29c2f75dad917,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.049195069058150805,0.18870937397794232,0.1350487760187218
0,full_coverage,gauss,gaussian,2,11.111111111111109,17.914369874471667,8.214058369230116,7.2049050896315405,33.33333333333332,7.2049050896315405,17.914369874471667,0.2161471526889463,2.523497202145387,0.9999999999999999,-2.94966333550192,2.7922367446056855,0.004789618874903234,0.9903763108229074,7fbd0202d03a6693,49d627a52f71500e,66218e7f97a8ddc2,7d8272b268c647a6,70969c8f1da0953e,f1e4975fb55b4311,f1e4975fb55b4311,True,True,07c29c2f75dad917,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.049195069058150805,0.18870937397794232,0.1350487760187218
0,complementary,pois,poisson,3,1.7477192457019857,4.925436957681894,0.31704536422977014,0.0006754151942922613,5.243157737105957,0.0006754151942922613,4.925436957681894,0.0001288184006962696,1.1284974596710733,1.0,-2.850647585326445,2.8937683055762817,1.8625,8.718593749999998,7fbd0202d03a6693,49d627a52f71500e,66218e7f97a8ddc2,8209608f29c2b77f,70969c8f1da0953e,f1e4975fb55b4311,f1e4975fb55b4311,True,True,07c29c2f75dad917,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.049195069058150805,0.18870937397794232,0.1350487760187218
0,full_coverage,pois,poisson,3,1.704096687487132,2.4191258045188446,1.829379217292793,0.8637850406497596,5.112290062461398,0.8637850406497596,2.4191258045188446,0.16896244737605437,2.6280254557145795,1.0,-2.850647585326445,2.8937683055762817,1.8375,7.5194270833333325,7fbd0202d03a6693,49d627a52f71500e,66218e7f97a8ddc2,7d8272b268c647a6,70969c8f1da0953e,f1e4975fb55b4311,f1e4975fb55b4311,True,True,07c29c2f75dad917,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.049195069058150805,0.18870937397794232,0.1350487760187218
1,complementary,bern,bernoulli,1,0.20740573343881874,0.6090271293144224,0.01135616497792078,0.0018339060241131645,0.6222172003164563,0.0018339060241131645,0.6090271293144224,0.0029473727553343907,1.0434120253950516,1.0,-3.314086400953331,2.3047914504554083,0.5041666666666667,0.24998263888888894,8c4efad498a36be9,e0d49fbda606a472,8cc59576e6e8a3d1,fb8e2296ee024e86,9345d9682fac0b10,ec93bec31cd734c1,ec93bec31cd734c1,True,True,b34c288cf89583b8,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1721887398372184,-0.10596366138006122,-0.04841436395405926
1,full_coverage,bern,bernoulli,1,0.20695176058041476,0.2644410955316624,0.20459375244481295,0.1518204337647689,0.6208552817412443,0.1518204337647689,0.2644410955316624,0.2445343355040403,2.8587174052825457,1.0,-3.11240957576942,3.2608442043113626,0.5166666666666667,0.24972222222222223,8c4efad498a36be9,e0d49fbda606a472,8cc59576e6e8a3d1,5df6d9482e0dbc35,9345d9682fac0b10,ec93bec31cd734c1,ec93bec31cd734c1,True,True,b34c288cf89583b8,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1721887398372184,-0.10596366138006122,-0.04841436395405926
1,complementary,gauss,gaussian,2,11.111111111111109,33.14431338889845,0.18808482491392572,0.0009351195209416386,33.33333333333332,0.0009351195209416386,33.14431338889845,2.8053585628249166e-05,1.0114058277040618,1.0,-2.58044493881803,3.411401146146418,-0.015685656869108024,1.0650828353602753,8c4efad498a36be9,e0d49fbda606a472,8cc59576e6e8a3d1,fb8e2296ee024e86,9345d9682fac0b10,ec93bec31cd734c1,ec93bec31cd734c1,True,True,b34c288cf89583b8,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1721887398372184,-0.10596366138006122,-0.04841436395405926
1,full_coverage,gauss,gaussian,2,11.111111111111109,13.37557631153621,10.941106363000417,9.016650658796713,33.33333333333334,9.016650658796713,13.37557631153621,0.27049951976390135,2.924639737807303,1.0,-2.870528519987989,3.411401146146418,-0.015685656869108024,1.0464309220127757,8c4efad498a36be9,e0d49fbda606a472,8cc59576e6e8a3d1,5df6d9482e0dbc35,9345d9682fac0b10,ec93bec31cd734c1,ec93bec31cd734c1,True,True,b34c288cf89583b8,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1721887398372184,-0.10596366138006122,-0.04841436395405926
1,complementary,pois,poisson,3,1.5162614043526836,4.448962103891743,0.08627314452786229,0.01354896463844743,4.5487842130580525,0.01354896463844743,4.448962103891743,0.0029785903230038573,1.044975118076648,1.0,-3.0393685006364186,2.027746589592652,1.3958333333333333,3.0891493055555554,8c4efad498a36be9,e0d49fbda606a472,8cc59576e6e8a3d1,fb8e2296ee024e86,9345d9682fac0b10,ec93bec31cd734c1,ec93bec31cd734c1,True,True,b34c288cf89583b8,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1721887398372184,-0.10596366138006122,-0.04841436395405926
