y_obs_rate,regime,comparator,n_trials,delta_rmse_mean,delta_rmse_std,delta_rmse_median,n_favoring_per_column_rmse,delta_test_ll_mean,n_favoring_per_column_ll
1.0,complementary,single_bernoulli,10,0.041770774177099915,0.01681135222830957,0.04480939926152262,10,0.017194605330042467,8
1.0,complementary,single_gaussian,10,0.005453871973999688,0.01688504308905088,0.006203830101701918,7,0.003518396522469924,4
1.0,complementary,single_poisson,10,0.03533291681899696,0.013348969796492804,0.03445607350586817,10,0.01643850389594812,7
1.0,full_coverage,single_bernoulli,10,0.06694629975789249,0.01150876785295207,0.06623928930367896,10,0.0344324747175687,9
1.0,full_coverage,single_gaussian,10,-0.00036741883837400346,0.00886964418011478,0.001954147683028193,6,-0.008168017131796402,3
1.0,full_coverage,single_poisson,10,0.051424554005699674,0.009373398927998773,0.051465235190773354,10,0.014464286524681036,7
1.0,complementary,y_only_shared_baseline,10,0.04345902804731764,0.018903906952504525,0.04174037320624295,10,0.020808297472376315,8
1.0,full_coverage,y_only_shared_baseline,10,0.06173873178580837,0.011863048761668575,0.05590419236637928,10,0.03076496815858163,9
0.1,complementary,single_bernoulli,10,0.49053629287945155,0.08674050242661646,0.5099888994834588,10,0.5396954519524083,10
0.1,complementary,single_gaussian,10,0.2279906190212345,0.09557062053200892,0.23508388471927794,10,0.18459240485729528,10
0.1,complementary,single_poisson,10,0.4271292826037952,0.08662270711371174,0.42745476835797336,10,0.5360763832051573,10
0.1,full_coverage,single_bernoulli,10,0.6945893571479089,0.07201658346006787,0.7000298163196832,10,0.7102218215378261,10
0.1,full_coverage,single_gaussian,10,0.11411288444643004,0.04964378511176885,0.10600963630260077,10,0.08906254929453325,9
0.1,full_coverage,single_poisson,10,0.43176355638645153,0.06024431308180799,0.4255440177393983,10,0.46516253772512417,10
0.1,complementary,y_only_shared_baseline,10,0.5520190489984402,0.08264129029488637,0.5852344599538132,10,0.6391676037874789,10
0.1,full_coverage,y_only_shared_baseline,10,0.7531926658879388,0.05051600802925287,0.7566860974876758,10,0.8001465520730081,10
