condition,n_trials,test_y_ll_mean,test_y_ll_std,test_y_rmse_mean,test_spearman_mean,test_hc_auc_mean,test_hc_ap_mean,n_nan,test_y_ll_diff_vs_genre_only
genre_avg_rating,1,-3.420296176512579,,7.307509956210031,0.9372401586532103,0.9731495098039216,0.9756093234248869,0,-0.0018559818093435432
genre_count_raw_poisson,1,-3.732841725056485,,8.89743629055128,0.9010757372239758,0.9531290849673203,0.955519136646559,0,-0.3144015303532499
genre_log_count_gaussian,1,-3.421864801450005,,7.303069086552088,0.9359902308813719,0.9716176470588236,0.9741342587126818,0,-0.0034246067467695873
genre_only,1,-3.4184401947032352,,7.285730187888543,0.936315199238384,0.9720955882352941,0.974460482027525,0,0.0
genre_year,1,-3.4233552978907795,,7.331439324167457,0.9365245553991114,0.9729248366013072,0.9744465226471329,0,-0.00491510318754429
genre_zscore_count_gaussian,1,-3.4210566546655645,,7.284367803495513,0.9363929440185006,0.9720179738562091,0.9745836979422887,0,-0.0026164599623292872
mixed_all_gaussian,1,-3.42300901061182,,7.350291606514657,0.9370578285595508,0.9727696078431372,0.9732416709134989,0,-0.0045688159085846
mixed_percolumn_log_count,1,-3.4014352437395132,,7.312309559627458,0.9382806436819556,0.9723080065359477,0.9723551748686865,0,0.01700495096372201
mixed_percolumn_raw,1,-3.7370890276635245,,8.846125673216987,0.9013536666184897,0.9539869281045752,0.9574662744686692,0,-0.31864883296028923
rating_stats_only,1,-3.727371299202181,,8.799613578564104,0.9015984473357763,0.9556699346405229,0.9591932678275501,0,-0.3089311044989458
y_only,1,-3.4783728818850133,,7.650398457057175,0.9300446136310999,0.969154411764706,0.96996233397785,0,-0.05993268718177802
