condition,split,model_trial,n_cols_used,test_y_ll,test_y_rmse,test_spearman,test_hc_auc,test_hc_ap,train_y_ll,w0,w,nan_occurred,runtime_s,x_rmse_genre,x_rmse_year,x_rmse_mean_rating,x_rmse_count_raw,x_rmse_count_log,x_rmse_count_z
y_only,0,0,0,-3.4783728818850133,7.650398457057175,0.9300446136310999,0.969154411764706,0.96996233397785,-3.3764044778212825,3.4358135492329334,0.27006692675334193,False,6.82,,,,,,
genre_only,0,0,19,-3.4184401947032352,7.285730187888543,0.936315199238384,0.9720955882352941,0.974460482027525,-3.358666184264017,3.413816744886826,0.2736225582878411,False,7.64,0.350800892612954,,,,,
genre_year,0,0,20,-3.4233552978907795,7.331439324167457,0.9365245553991114,0.9729248366013072,0.9744465226471329,-3.359504116741075,3.414982469514129,0.27380564413536385,False,9.5,0.35161668475231894,0.6143191649913056,,,,
genre_avg_rating,0,0,20,-3.420296176512579,7.307509956210031,0.9372401586532103,0.9731495098039216,0.9756093234248869,-3.3604204997471765,3.415836783506354,0.27332783385065007,False,9.47,0.35025918773672654,,0.6103763676208658,,,
genre_count_raw_poisson,0,0,20,-3.732841725056485,8.89743629055128,0.9010757372239758,0.9531290849673203,0.955519136646559,-3.747528425045291,3.15136563176784,0.3313521011036483,False,9.44,0.2923689973564149,,,27.813396876228037,,
genre_log_count_gaussian,0,0,20,-3.421864801450005,7.303069086552088,0.9359902308813719,0.9716176470588236,0.9741342587126818,-3.362052878109261,3.4162584024415277,0.2734854706173123,False,9.4,0.35024891464369406,,,,0.8205695929315746,
genre_zscore_count_gaussian,0,0,20,-3.4210566546655645,7.284367803495513,0.9363929440185006,0.9720179738562091,0.9745836979422887,-3.360817672181667,3.4160802016122274,0.27352727287681544,False,9.42,0.3516908909447213,,,,,0.804472409886805
rating_stats_only,0,0,3,-3.727371299202181,8.799613578564104,0.9015984473357763,0.9556699346405229,0.9591932678275501,-3.735432646636698,3.1451561053782413,0.33380274510405233,False,8.48,,0.6848506246340689,0.6207488348682452,28.32352197952572,,
mixed_percolumn_raw,0,0,22,-3.7370890276635245,8.846125673216987,0.9013536666184897,0.9539869281045752,0.9574662744686692,-3.746707016978127,3.1493736273956174,0.33127161656398746,False,10.17,0.29240935798037454,0.6770182156123268,0.6043016975876919,27.844746296828646,,
mixed_all_gaussian,0,0,22,-3.42300901061182,7.350291606514657,0.9370578285595508,0.9727696078431372,0.9732416709134989,-3.3812343922118013,3.437809238953754,0.2679930291052137,False,6.67,0.313517546648675,0.5890971833524515,0.583312260778807,71.69422652299728,,
mixed_percolumn_log_count,0,0,22,-3.4014352437395132,7.312309559627458,0.9382806436819556,0.9723080065359477,0.9723551748686865,-3.36076314963169,3.413603828852077,0.27385367814178996,False,9.35,0.3492802897016753,0.6161726112771172,0.581898370060932,,0.8257571320105195,
y_only,0,1,0,-3.4701938339689002,7.6983967203248715,0.9321835876892836,0.9712540849673204,0.9700448807814354,-3.3798319704714577,3.437052174021254,0.2696096860385146,False,6.8,,,,,,
genre_only,0,1,19,-3.4397934891271476,7.536664289826234,0.9358788302987422,0.9730637254901962,0.9742631470379006,-3.3645271798094845,3.4145266870665347,0.27331894052963746,False,7.74,0.34851134890213376,,,,,
genre_year,0,1,20,-3.4288781743993666,7.4289264425466826,0.9356272652346422,0.9722303921568627,0.9738651408941821,-3.3631606378769603,3.414670688008502,0.27354608030356947,False,9.43,0.3498880963052675,0.612503769879549,,,,
genre_avg_rating,0,1,20,-3.430694271759944,7.445377931080235,0.936264424865243,0.9733905228758171,0.9755039193887711,-3.363842127829753,3.414641854745978,0.27347572824767474,False,9.44,0.3486511367595447,,0.608775458765262,,,
genre_count_raw_poisson,0,1,20,-3.7521225515019636,8.955875673606428,0.8983176188517518,0.9530964052287583,0.9558955973303273,-3.748258237789703,3.1506962648697217,0.3310026400711987,False,9.52,0.2922490975511235,,,27.41791159728151,,
genre_log_count_gaussian,0,1,20,-3.429025384777262,7.478930904535343,0.9363284834470937,0.9728880718954249,0.9735113570671385,-3.3658614240488376,3.416547600211905,0.27297912415877224,False,9.39,0.34999471397742393,,,,0.8310017306190054,
