condition,n_trials,test_y_ll_mean,test_y_ll_std,test_y_rmse_mean,test_spearman_mean,test_hc_auc_mean,test_hc_ap_mean,n_nan,test_y_ll_diff_vs_genre_only
genre_avg_rating,4,-3.4194510895205283,0.008982147340545503,7.287160407833079,0.9368037644040266,0.9715186816393224,0.9730596289379302,0,-0.002248379494562247
genre_count_raw_poisson,4,-3.791656054474241,0.0573292112267397,9.117989648887232,0.8936260106759861,0.9493584133653461,0.9502597181028487,0,-0.3744533444482747
genre_log_count_gaussian,4,-3.4151230998348368,0.01228220947916708,7.261459602635354,0.9366136888675081,0.9707447970855009,0.9718543057094216,0,0.002079610191129344
genre_only,4,-3.417202710025966,0.017205243353818976,7.287032494934658,0.9364236366060519,0.9702102365946379,0.9713156621084647,0,0.0
genre_year,4,-3.419211013678439,0.00842781862683367,7.290670231732426,0.9361221984952073,0.9705183990262771,0.9712983713064984,0,-0.0020083036524729536
genre_zscore_count_gaussian,4,-3.415638399187313,0.016243336674537163,7.26509979889406,0.9368181607500334,0.9711141898426037,0.9722271579657208,0,0.0015643108386531601
mixed_all_gaussian,4,-3.437714488461692,0.01804558989127856,7.412165815877511,0.9351156722150148,0.9709774834933973,0.9706344569388237,0,-0.020511778435726047
mixed_percolumn_log_count,4,-3.4144675714237227,0.014215100752934457,7.300800506895105,0.9370023842833919,0.9711510312458317,0.9713957587336077,0,0.002735138602243392
mixed_percolumn_raw,4,-3.787936924044741,0.052451771102283384,9.084318755230747,0.8946353608392396,0.9491821987128185,0.9504802903708666,0,-0.3707342140187748
rating_stats_only,4,-3.7791349120393187,0.05604326584989406,9.03833367780663,0.8950463145469489,0.9497426095438175,0.9509546424724398,0,-0.36193220201335263
y_only,4,-3.4515791916885075,0.026813236094447437,7.486513814659881,0.9323165452415675,0.9688878384687208,0.9681682025372116,0,-0.03437648166254137
