condition,y_obs_rate,n_train_pairs_mean,rmse_Z_mean,rmse_Z_std,test_y_ll_mean,test_y_ll_std,test_y_rmse_mean,w0_err_mean,w_err_mean,n_nan
all_gaussian,0.1,253.0,0.8354423158262565,0.11063563280625384,-2.1455080493271463,0.05509675372905086,2.2271220873151467,0.046327448749200584,0.09248121300551498,0
all_gaussian,0.2,506.0,0.6471985913580474,0.023189826543903006,-2.138405187673771,0.011627890891954186,2.276570019976944,0.10499110652667198,0.043754021833707926,0
all_gaussian,0.5,1264.0,0.2667186365383398,0.005556292398628015,-1.9743782484078505,0.037471815937517305,1.9033139467250333,0.023280569114968452,0.016393614448079352,0
all_gaussian,1.0,2528.0,0.2353285474557868,0.00778801166688071,-1.9590793938052335,0.046697960277007705,1.8559600397156883,0.01886181432628342,0.008090468907558601,0
per_column_all,0.1,253.0,0.3433677210097536,0.018046426019426583,-1.9944838003111067,0.031763348358935045,1.9164559130692784,0.02577850692393968,0.026656197692762396,0
per_column_all,0.2,506.0,0.31884580619774083,0.010043878155825896,-2.0023077544054915,0.03723542546736511,1.9637535625622857,0.032918357673356824,0.02195557353675684,0
per_column_all,0.5,1264.0,0.2622785681754714,0.0010740688983965562,-1.9714280382753158,0.03914379451828425,1.9019787033874085,0.023772606345938474,0.018177242728521975,0
per_column_all,1.0,2528.0,0.22573521425100423,0.019752056151932543,-1.957468633716428,0.04848816410231539,1.8433093803371015,0.01799610019233988,0.008194775506832175,0
single_gaussian,0.1,253.0,0.41796472826819475,0.0483065976845713,-2.0637229202765024,0.03181270074084881,2.0853453516338734,0.03316602452547146,0.031548210513537095,0
single_gaussian,0.2,506.0,0.3579706970947515,0.019408796612010986,-2.0244946725783346,0.038196809914462435,2.0056046764300492,0.03221967505022916,0.023133623863867026,0
single_gaussian,0.5,1264.0,0.27599268904164287,0.0023990445402111466,-1.9849493969822771,0.05119709519781448,1.9327686618030282,0.02479594893531145,0.015332261432545263,0
single_gaussian,1.0,2528.0,0.23735359441854498,0.007432039819638307,-1.9650097291780129,0.04517030439257311,1.8947446615774515,0.017901006932519947,0.0073290223573896085,0
y_only,0.1,253.0,1.1874152217055283,0.06284449099546599,-2.5281816784657725,0.12987820638961753,2.912655018937711,0.052626858921474895,0.01820302621492309,0
y_only,0.2,506.0,0.8023420020211438,0.02656054281054268,-2.3068369280647363,0.11106884566248987,2.5595166694935805,0.05129203855215103,0.020205774699186857,0
y_only,0.5,1264.0,0.45665425003992066,0.007931571312494515,-2.0715752938002394,0.09415278530538981,2.133593634163188,0.026211164255997343,0.01925395345310771,0
y_only,1.0,2528.0,0.30795531436026913,0.004996909417089337,-1.9882903582350482,0.07302790836971089,1.9239083370466221,0.01786204278915282,0.007227541251921682,0
