condition,y_obs_rate,n_trials,n_train_pairs_mean,rmse_Z_mean,rmse_Z_std,test_y_ll_mean,test_y_ll_std,test_y_rmse_mean,w0_err_mean,w_err_mean,n_nan,rmse_Z_mean_percolumn,test_y_ll_mean_percolumn,rmse_Z_diff_vs_percolumn,test_y_ll_diff_vs_percolumn
all_gaussian,0.1,10,253.0,0.7690344655091504,0.1327892727944269,-2.1909634033323453,0.06639350417305284,2.363358350954983,0.07908112789124913,0.05500706948279406,0,0.3428981073447086,-2.0679240114855104,0.42613635816444184,-0.12303939184683488
all_gaussian,0.2,10,506.0,0.7320261420557257,0.12648524273204034,-2.1770822878025182,0.04490360301347824,2.3523974806406223,0.07946334482422057,0.06511776686770383,0,0.32035787738469307,-2.0518989509327303,0.4116682646710326,-0.1251833368697879
all_gaussian,0.5,10,1264.0,0.33066832235486204,0.10911015866508458,-2.0430952960236675,0.06387167022468236,2.070366696953262,0.014446963239593158,0.015370438730201713,0,0.26595522355208556,-2.0209748535075844,0.06471309880277648,-0.022120442516083028
all_gaussian,1.0,10,2528.0,0.2328193341626191,0.018611630701973702,-2.0097621239325063,0.04411537772612953,1.9969338779741626,0.01232183856814011,0.00612221868346437,0,0.22140363914785924,-2.0034124227457033,0.011415695014759863,-0.006349701186803003
per_column_all,0.1,10,253.0,0.3428981073447086,0.026332246856255168,-2.0679240114855104,0.05921744361083351,2.2223941201035444,0.02994746686467953,0.019715347272690243,0,0.3428981073447086,-2.0679240114855104,0.0,0.0
per_column_all,0.2,10,506.0,0.32035787738469307,0.024625908527147317,-2.0518989509327303,0.05353197000940203,2.146913675437474,0.020010931714164126,0.023230179510637168,0,0.32035787738469307,-2.0518989509327303,0.0,0.0
per_column_all,0.5,10,1264.0,0.26595522355208556,0.021637497102991014,-2.0209748535075844,0.04368640909442301,2.0354019217135018,0.016279813523249677,0.009532429588536446,0,0.26595522355208556,-2.0209748535075844,0.0,0.0
per_column_all,1.0,10,2528.0,0.22140363914785924,0.019988740067032742,-2.0034124227457033,0.04242570751648218,1.9731775855656644,0.011964185410568363,0.005976306672527421,0,0.22140363914785924,-2.0034124227457033,0.0,0.0
single_gaussian,0.1,10,253.0,0.4261165849617313,0.06034585738193696,-2.113692054016144,0.06670384010649492,2.313791048835532,0.030326010008382552,0.024569369350332215,0,0.3428981073447086,-2.0679240114855104,0.08321847761702272,-0.04576804253063349
single_gaussian,0.2,10,506.0,0.3642981790200458,0.03395078475055138,-2.072042737823214,0.053773415285819914,2.1754914079103904,0.021576564253241927,0.02178078129761212,0,0.32035787738469307,-2.0518989509327303,0.04394030163535273,-0.02014378689048346
single_gaussian,0.5,10,1264.0,0.2788415201983271,0.02445728374181636,-2.024884960940903,0.03942783377044399,2.0251420110750855,0.017860432266002025,0.008762078998328404,0,0.26595522355208556,-2.0209748535075844,0.012886296646241524,-0.003910107433318544
single_gaussian,1.0,10,2528.0,0.23178496652786143,0.019764391400975665,-2.007493950099474,0.03901625243564884,1.9850905567258441,0.01181716347155859,0.005847301772962127,0,0.22140363914785924,-2.0034124227457033,0.010381327380002192,-0.004081527353770653
y_only,0.1,10,253.0,1.1758226030412473,0.08645099010569317,-2.6179799557396723,0.13325781195135458,3.219808554288027,0.04938423983755722,0.02241722209906231,0,0.3428981073447086,-2.0679240114855104,0.8329244956965387,-0.5500559442541619
y_only,0.2,10,506.0,0.8570209497512918,0.09421415167344244,-2.3815558089120272,0.11663278847587231,2.7243517701078894,0.034358093519695584,0.03128946591594174,0,0.32035787738469307,-2.0518989509327303,0.5366630723665988,-0.3296568579792969
y_only,0.5,10,1264.0,0.460304269727377,0.04081071223989191,-2.1215940173578747,0.05986334810200559,2.249905982558472,0.015745542330481154,0.011039084787545695,0,0.26595522355208556,-2.0209748535075844,0.19434904617529142,-0.10061916385029024
y_only,1.0,10,2528.0,0.30780457525656485,0.01414792958452946,-2.037461500366222,0.04650011724006295,2.0565408120704576,0.012182689850999217,0.006363075610290619,0,0.22140363914785924,-2.0034124227457033,0.08640093610870561,-0.0340490776205189
