model,scenario,x_correct,k_est,k_true,n_trials,rmse_Z_mean,rmse_Z_std,rmse_F_mean,rmse_F_std,rmse_Y_mean,rmse_Y_std,rmse_X_mean,rmse_X_std,w0_err_mean,w0_err_std,w_err_mean,w_err_std,BIC_mean,BIC_std
baseline_X_misspecified,ScenA_Pois_Bern,False,1,3,5,1.03401,0.18605,1.17623,0.48789,0.27059,0.02536,2.48452,0.21471,0.27318,0.05991,0.48167,0.49202,24043.44336,879.8881
baseline_X_misspecified,ScenA_Pois_Bern,False,2,3,5,0.88347,0.13219,1.4374,0.1371,0.25416,0.01121,1.94393,0.11782,0.05393,0.02916,0.63621,0.1072,22848.51627,640.91832
baseline_X_misspecified,ScenA_Pois_Bern,False,3,3,5,0.68182,0.07095,1.29041,0.20246,0.20655,0.00518,1.69671,0.11178,0.11245,0.06258,0.4498,0.08156,21358.22385,507.55227
baseline_X_misspecified,ScenA_Pois_Bern,False,4,3,5,0.59858,0.09233,1.23975,0.25782,0.1374,0.00723,1.49683,0.07848,0.33203,0.06424,0.22274,0.13316,19796.10441,391.90307
baseline_X_misspecified,ScenA_Pois_Bern,False,5,3,5,0.74541,0.08505,1.09996,0.17507,0.14432,0.00524,1.39703,0.04785,0.3267,0.03231,0.44596,0.11153,20059.63124,223.72288
baseline_X_misspecified,ScenA_Pois_Bern,False,6,3,5,0.73399,0.13389,0.86563,0.29984,0.14759,0.00409,1.31279,0.04568,0.31003,0.06586,0.58478,0.0735,20319.9377,206.82806
dual_expfam,ScenA_Pois_Bern,True,1,3,5,1.08091,0.32766,0.61904,0.16656,0.2606,0.00901,1.92498,0.12738,0.31829,0.01265,0.49861,0.16493,21192.64712,647.54699
dual_expfam,ScenA_Pois_Bern,True,2,3,5,0.71221,0.1736,0.35284,0.10695,0.20471,0.01259,1.51826,0.11403,0.20584,0.01769,0.34696,0.10992,18859.32483,486.93814
dual_expfam,ScenA_Pois_Bern,True,3,3,5,0.27983,0.01578,0.06953,0.00659,0.12499,0.00808,1.20998,0.0208,0.04195,0.00871,0.14807,0.02919,16909.96187,222.93554
dual_expfam,ScenA_Pois_Bern,True,4,3,5,0.51922,0.13004,0.22358,0.06621,0.13425,0.00384,1.18884,0.01191,0.04705,0.00719,0.42639,0.01438,17380.22273,203.06808
dual_expfam,ScenA_Pois_Bern,True,5,3,5,0.74262,0.07414,0.34628,0.06215,0.1454,0.00508,1.18126,0.02766,0.04827,0.00529,0.60067,0.01275,17889.38873,203.58344
dual_expfam,ScenA_Pois_Bern,True,6,3,5,0.66979,0.11903,0.31004,0.06811,0.15352,0.00394,1.17631,0.02119,0.04587,0.00726,0.71879,0.01291,18370.55608,182.84424
