scenario,model,family_x,family_y,k_est,k_true,trial,n,d,rmse_Z,rmse_F,rmse_Y,rmse_X,rmse_sigma,w0_err,w_err,BIC,Q_strict,x_misspecified,comparison_type
Control,dual_expfam,gaussian,bernoulli,1,3,0,150,15,0.8384148957884346,0.4216219271992031,0.2535318582958246,0.6614855555677281,0.4444394066405599,0.3290048425493908,0.4955029299488418,17595.229984891303,-8722.455463034208,False,main
Control,baseline,gaussian,bernoulli,1,3,0,150,15,0.8384148957884346,0.4216219271992031,0.2535318582958246,0.6614855555677281,0.4444394066405599,0.32900484254939066,0.4955029299488418,17597.555695155184,-8723.618318166149,False,main
Control,dual_expfam,gaussian,bernoulli,1,3,1,150,15,0.45434306968040344,0.19372821744977695,0.2791304584118966,0.7808839508214563,0.6013454301422537,0.3390586476504064,0.6438534769823447,18690.670450316607,-9270.17569574686,False,main
Control,baseline,gaussian,bernoulli,1,3,1,150,15,0.45434306968040344,0.19372821744977695,0.2791304584118966,0.7808839508214563,0.6013454301422537,0.3390586476504064,0.6438534769823447,18665.452491078533,-9257.566716127823,False,main
Control,dual_expfam,gaussian,bernoulli,1,3,2,150,15,0.8538549763932494,0.4360327037588515,0.24436574487089122,0.7960103735248881,0.633757517432685,0.2519508471188755,0.2522755742793936,17429.949661786148,-8639.81530148163,False,main
Control,baseline,gaussian,bernoulli,1,3,2,150,15,0.8550825651261281,0.42982929810756604,0.24485568096147017,0.7948061441712174,0.6328265604160365,0.2551989954351269,0.2417283285407159,17406.233584391626,-8627.95726278437,False,main
Control,dual_expfam,gaussian,bernoulli,1,3,3,150,15,1.1976941032009778,0.6612879308479929,0.2558113472163456,0.7252000089204532,0.503520100942089,0.3394031535905697,0.43358119633111714,18133.63650846775,-8991.658724822431,False,main
Control,baseline,gaussian,bernoulli,1,3,3,150,15,1.1976941032009778,0.6612879308479929,0.25581134721634563,0.7252000089204532,0.503520100942089,0.33940315359056983,0.43358119633111736,18096.507389355505,-8973.09416526631,False,main
Control,dual_expfam,gaussian,bernoulli,1,3,4,150,15,1.2418871904419548,0.6300735360682317,0.2658360767412685,0.8028939032502734,0.6027322446446802,0.3553285344206508,0.5450766979735293,18854.40709266885,-9352.044016922982,False,main
Control,baseline,gaussian,bernoulli,1,3,4,150,15,1.2577884085365039,0.6233538951583271,0.26413506964847366,0.8023822334347795,0.6024436889192308,0.357061649841261,0.5318049443967818,18820.152503178128,-9334.91672217762,False,main
Control,dual_expfam,gaussian,bernoulli,2,3,0,150,15,0.5320029407943934,0.1994725355551583,0.1826250357513198,0.43242165196328036,0.1345689343537633,0.20256521893385238,0.2886737652992435,14532.62757390281,-7156.0798104812875,False,main
Control,baseline,gaussian,bernoulli,2,3,0,150,15,0.5320029407943935,0.19947253555515831,0.1826250357513198,0.43242165196328036,0.1345689343537633,0.20256521893385238,0.28867376529924327,14515.611168028472,-7147.571607544119,False,main
Control,dual_expfam,gaussian,bernoulli,2,3,1,150,15,0.6176470879656747,0.3198334502759486,0.19186781553880441,0.5945560504817967,0.3474506424375954,0.17912183923166414,0.2572579927829852,15572.55184277751,-7676.0419449186375,False,main
Control,baseline,gaussian,bernoulli,2,3,1,150,15,0.6176470879656747,0.3198334502759486,0.1918678155388044,0.5945560504817967,0.3474506424375954,0.17912183923166403,0.257257992782985,15529.597147736813,-7654.564597398289,False,main
Control,dual_expfam,gaussian,bernoulli,2,3,2,150,15,0.7096097577108222,0.38805680196080544,0.1752829522722124,0.5390353729188035,0.3119871211254361,0.11486065605325191,0.19433593833666896,14330.941414158611,-7055.236730609188,False,main
Control,baseline,gaussian,bernoulli,2,3,2,150,15,0.721649319047701,0.38664209556216067,0.17375476724320096,0.5357324921651481,0.3084388925796789,0.11638248483113889,0.1902830354610625,14258.341452411765,-7018.936749735765,False,main
Control,dual_expfam,gaussian,bernoulli,2,3,3,150,15,0.6226251765063637,0.29919864372759647,0.20241649209839638,0.5326865369611082,0.30024363135006826,0.23692571561641107,0.3031290577430481,15426.497228417353,-7603.014637738559,False,main
Control,baseline,gaussian,bernoulli,2,3,3,150,15,0.6159890888411146,0.2934649840805968,0.20082550810111793,0.5324383042206396,0.303829036397469,0.23670658389845567,0.29128481221120417,15388.207478757831,-7583.869762908798,False,main
Control,dual_expfam,gaussian,bernoulli,2,3,4,150,15,0.8277956508984357,0.3524488193487015,0.2084781495854648,0.5255569622930745,0.2863067407395752,0.2623714543198554,0.4727003175324491,15663.046237043221,-7721.289142051493,False,main
Control,baseline,gaussian,bernoulli,2,3,4,150,15,0.8165795851201106,0.35150900007389013,0.20596097429197666,0.5238185808950796,0.28548934149069927,0.25854682098627624,0.4678423643797349,15577.395818381612,-7678.463932720689,False,main
Control,dual_expfam,gaussian,bernoulli,3,3,0,150,15,0.20634078607115078,0.03390830191535003,0.09972548457179173,0.30342362439631554,0.019352276397975265,0.05488974032782601,0.08360717619579572,12057.767896664227,-5886.08084245037,False,main
