k_true,k_est,BIC,log_likelihood,best_k,correct
1,1,11235.164081107785,-5542.4225111424485,1,1
1,2,11656.677766961311,-5718.104907010538,1,1
1,3,12075.527676279466,-5894.96073225799,1,1
1,4,12456.789298461763,-6055.527731584561,1,1
1,5,12903.62081159675,-6251.384994034524,1,1
1,6,13343.120251419015,-6446.081537475176,1,1
1,7,13733.604752630035,-6618.775929257253,1,1
1,8,14220.152150282598,-6842.00708690715,1,1
1,9,14570.81043076697,-6999.799003619998,1,1
1,10,15119.677425129237,-7259.200594918843,1,1
3,1,20123.121827114403,-9986.401384145758,3,1
3,2,18367.491152931972,-9073.511599995869,3,1
3,3,16535.795362537257,-8125.094575386885,3,1
3,4,16880.353338587218,-8267.309751647288,3,1
3,5,17223.018865659313,-8411.084021065806,3,1
3,6,17659.769757681377,-8604.406290606357,3,1
3,7,18011.472272468578,-8757.709689176525,3,1
3,8,18360.68389957001,-8912.272961550854,3,1
3,9,18744.44483777459,-9086.616207123809,3,1
3,10,19183.774682257623,-9291.249223483035,3,1
5,1,19516.84660022412,-9683.263770700616,5,1
5,2,16790.932440866512,-8285.232243963139,5,1
5,3,13923.480427839717,-6818.937108038115,5,1
5,4,10669.599494494489,-5161.9328296009235,5,1
5,5,7174.182499095836,-3386.6658377840677,5,1
5,6,7648.090834485368,-3598.566829008352,5,1
5,7,7996.42677364582,-3750.1869397651453,5,1
5,8,8529.597028701426,-3996.729526116563,5,1
5,9,9000.318020948696,-4214.552798710862,5,1
5,10,9468.772841455891,-4433.74830308217,5,1
7,1,20365.147564509298,-10107.414252843206,7,1
7,2,18645.290718151773,-9212.41138260577,7,1
7,3,16878.151163045222,-8296.272475640868,7,1
7,4,14724.203552424684,-7189.234858566021,7,1
7,5,12623.127989833665,-6111.138583152982,7,1
7,6,10616.698043628541,-5082.870433579939,7,1
7,7,7411.50054141984,-3457.7238236521557,7,1
7,8,7959.77299511306,-3711.81750932238,7,1
7,9,8383.155604397443,-3905.9715904352347,7,1
7,10,8988.156271829772,-4193.440018269111,7,1
9,1,20709.141039160826,-10279.41099016897,9,1
9,2,19610.341592962366,-9694.936820011066,9,1
9,3,18499.535409573014,-9106.964598904764,9,1
9,4,17435.824589432796,-8545.045377070077,9,1
9,5,16270.528381129418,-7934.838778800859,9,1
9,6,14909.986711345071,-7229.514767438204,9,1
9,7,13424.209402882125,-6464.0782543832975,9,1
9,8,11994.252786033097,-5729.057404782399,9,1
9,9,10148.491346034698,-4788.6394612538625,9,1
9,10,10665.471689422635,-5032.097727065542,9,1
